20260909 140100;29855.5;29860;29851.75;29851.75;45
20260909 140200;29849.5;29849.75;29827.75;29827.75;46
20260909 140300;29831;29842;29829;29842;28
20260909 140400;29837.5;29864.25;29837.5;29864.25;66
20260909 140500;29866.75;29882;29860.25;29875.25;75
20260909 140600;29872;29888;29872;29882.5;50
20260909 140700;29881.75;29885;29872.25;29873.75;36
20260909 140800;29879.25;29879.25;29866;29872;26
20260909 140900;29872.5;29873;29863;29866.5;17
20260909 141000;29861.25;29866.5;29857.75;29866.5;16
20260909 141100;29868.5;29875;29865;29866;20
20260909 141200;29860;29860;29842.5;29845;28
20260909 141300;29847;29851.25;29840;29845.25;37
20260909 141400;29847;29857;29844.75;29857;15
20260909 141500;29854.75;29862;29852.5;29856.5;27
20260909 141600;29852.5;29856;29829.25;29830.25;43
20260909 141700;29830.25;29830.25;29801;29808.75;65
20260909 141800;29809;29816.75;29804.75;29810.75;28
20260909 141900;29807.75;29807.75;29793.5;29800.75;57
20260909 142000;29799;29802;29783.25;29796.5;45
20260909 142100;29798;29801.75;29787;29787.25;32
20260909 142200;29785;29788.25;29775;29780.5;36
20260909 142300;29774.5;29776.5;29763;29770;66
20260909 142400;29772.75;29772.75;29760.75;29767.5;35
20260909 142500;29767.25;29782.5;29755;29755;54
20260909 142600;29756;29785.75;29754;29785.75;39
20260909 142700;29783;29790;29778.25;29781;30
20260909 142800;29777.25;29797.5;29772.25;29797.5;29
20260909 142900;29789.5;29820.5;29789.5;29820.5;35
20260909 143000;29822;29832;29821.75;29826;35
20260909 143100;29826.75;29830;29814.5;29816.25;22
20260909 143200;29812.25;29812.5;29804.5;29810.25;16
20260909 143300;29813.25;29815.75;29797;29806.25;24
20260909 143400;29810;29812;29801;29805;10
20260909 143500;29797.75;29807.5;29797.75;29807.5;4
20260909 143600;29812;29820;29810;29811.25;6
20260909 143700;29815.5;29825.25;29810;29810.75;8
20260909 143800;29805.5;29805.5;29788;29793;28
20260909 143900;29791.75;29800;29791;29792;20
20260909 144000;29795;29817.25;29795;29817.25;12
20260909 144100;29817;29828;29810.25;29812.25;19
20260909 144200;29812;29820.5;29809.5;29820.5;12
20260909 144300;29817;29821;29810;29815.75;9
20260909 144400;29810.75;29824.75;29810.25;29824;20
20260909 144500;29821.25;29839;29821.25;29827;26
20260909 144600;29822;29832;29817.75;29831.5;9
20260909 144700;29831.75;29831.75;29823;29830.5;9
20260909 144800;29827.75;29830.75;29824.75;29829;4
20260909 144900;29825.75;29828.75;29820;29825.25;4
20260909 145000;29827.5;29835;29827.5;29835;4
20260909 145100;29834.5;29834.5;29831.5;29832;5
20260909 145200;29816;29816;29816;29816;2
20260909 145300;29813.25;29820.75;29800;29813;42
20260909 145400;29808;29809;29804.5;29809;4
20260909 145500;29806.25;29806.5;29799;29802.75;7
20260909 145600;29810.25;29816.5;29801.25;29805.75;21
20260909 145700;29801;29812.5;29801;29811.25;7
20260909 145800;29799.5;29808.75;29798.75;29808.75;6
20260909 145900;29810.25;29831.25;29810.25;29831.25;12
20260909 150000;29829.25;29829.25;29822;29823.5;5
20260909 150100;29824.75;29858;29811.75;29836.25;76
20260909 150200;29838;29853.25;29791.5;29800.5;41
20260909 150300;29807.25;29812.75;29787;29787;22
20260909 150400;29787.5;29793.5;29779.5;29787.75;28
20260909 150500;29787.25;29788;29777.5;29787;27
20260909 150600;29786;29798.75;29774.25;29777.25;43
20260909 150700;29770;29775.75;29765;29765;44
20260909 150800;29764;29775.25;29759.25;29770.5;57
20260909 150900;29768.25;29772.75;29760;29764.25;9
20260909 151000;29761.75;29761.75;29726.75;29733.5;129
20260909 151100;29734.5;29736.75;29722.25;29722.25;31
20260909 151200;29723.25;29723.25;29688;29688;103
20260909 151300;29687;29698;29682.75;29686.5;60
20260909 151400;29689;29701;29685;29689.75;37
20260909 151500;29691.75;29700.75;29687.75;29695.25;113
20260909 151600;29692.25;29708.25;29685;29700;113
20260909 151700;29696.5;29720;29694.5;29720;29
20260909 151800;29725;29728.75;29715.25;29720.75;27
20260909 151900;29721;29737.75;29721;29736.5;29
20260909 152000;29738;29744.75;29732.75;29739;30
20260909 152100;29734;29745;29730;29733.5;14
20260909 152200;29730;29730;29708.25;29708.25;33
20260909 152300;29714.75;29715;29689;29689;36
20260909 152400;29689;29691.75;29664;29667;64
20260909 152500;29664;29664;29652;29656.75;45
20260909 152600;29658.5;29670.5;29656.5;29667.5;77
20260909 152700;29668.25;29675;29665.5;29674.25;58
20260909 152800;29670;29677.25;29660;29677.25;43
20260909 152900;29671;29685;29671;29679.75;18
20260909 153000;29677.75;29685.25;29674.75;29683.75;17
20260909 153100;29685.75;29707.75;29684.25;29702;50
20260909 153200;29701;29701;29689.25;29696;15
20260909 153300;29692.75;29712.5;29692.75;29712.5;35
20260909 153400;29708.5;29720;29702.5;29720;22
20260909 153500;29721.75;29727.75;29716.75;29727.75;38
20260909 153600;29727.5;29735;29719.25;29725;24
20260909 153700;29730;29735.5;29730;29735.5;7
20260909 153800;29730;29730;29717.5;29717.5;21
20260909 153900;29715;29715;29700;29705;24
20260909 154000;29700;29766;29699.75;29766;79
20260909 154100;29767;29770;29730.75;29737.75;40
20260909 154200;29737.5;29737.5;29721.5;29722.75;28
20260909 154300;29721.75;29730;29721.75;29730;6
20260909 154400;29727.25;29733.5;29727.25;29732;9
20260909 154500;29729.75;29732.25;29725.75;29731;10
20260909 154600;29731.25;29732.25;29724.25;29724.25;12
20260909 154700;29723.5;29723.5;29720;29720;5
20260909 154800;29722.75;29730.5;29719.25;29727.25;14
20260909 154900;29727;29732;29723.25;29723.25;9
20260909 155000;29721.75;29736;29721.75;29733.75;17
20260909 155100;29731.25;29756.75;29730.75;29756.75;25
20260909 155200;29753.25;29754.5;29750;29750;7
20260909 155300;29747.5;29752;29744.25;29752;11
20260909 155400;29750;29755;29750;29755;10
20260909 155500;29751.75;29759.5;29750;29759.5;77
20260909 155600;29756.25;29756.25;29748;29748;14
20260909 155700;29736.25;29736.25;29728.5;29731;8
20260909 155800;29731.5;29734;29724.25;29724.25;6
20260909 155900;29724;29731.5;29724;29731.5;4
20260909 160000;29736;29743;29736;29740.25;9
20260909 160100;29739.75;29743.25;29736.5;29739;23
20260909 160200;29741.5;29748;29741.5;29748;5
20260909 160300;29740.25;29751.75;29740.25;29751.75;4
20260909 160400;29748.25;29748.25;29742.75;29742.75;2
20260909 160500;29746.25;29750;29746.25;29750;20
20260909 160600;29750;29753.75;29750;29753.75;5
20260909 160700;29745.5;29745.5;29741;29741;2
20260909 160800;29739;29739;29730;29730;3
20260909 160900;29728;29728;29716.25;29721;13
20260909 161000;29723.75;29724.5;29710;29710;18
20260909 161100;29707;29715.5;29705;29713.5;11
20260909 161200;29714.5;29714.5;29714.5;29714.5;1
20260909 161300;29720;29720;29717.75;29720;4
20260909 161400;29725;29725.5;29725;29725.5;2
20260909 161500;29716.5;29716.5;29710;29710;5
20260909 161600;29706.5;29706.75;29698;29698;18
20260909 161700;29701.25;29702;29696.75;29696.75;10
20260909 161800;29701.25;29701.25;29692.75;29692.75;22
20260909 161900;29697.75;29697.75;29694.75;29694.75;10
20260909 162000;29692.75;29693;29692.75;29693;2
20260909 162100;29693.25;29693.25;29690;29692.75;9
20260909 162200;29691.75;29700;29691.75;29700;9
20260909 162300;29695;29695.75;29689.25;29691.25;17
20260909 162400;29693;29693.75;29691.25;29693.75;4
20260909 162500;29697;29707.25;29695.5;29707.25;12
20260909 162600;29707.5;29713.25;29695.75;29697.5;35
20260909 162700;29695;29695;29686.25;29687;9
20260909 162800;29695;29695;29687.75;29690.25;10
20260909 162900;29687.5;29687.5;29685;29685;4
20260909 163000;29682;29686.5;29682;29685.25;15
20260909 163100;29695;29707.25;29695;29706.75;11
20260909 163200;29700;29709.75;29700;29709.75;3
20260909 163300;29713;29715;29705.75;29714;8
20260909 163400;29715.25;29720;29709.25;29720;17
