ts_utc,qld,side,via,dOIc,delta_M,thumbRank,floorRank
2026-07-06T12:10:00.000Z,2026-07-06 22:10,SHORT,latch,-4246,-69.18,1,0.976
2026-07-12T22:50:00.000Z,2026-07-13 08:50,SHORT,latch,-3387,-47,1,0.885
2026-07-13T00:40:00.000Z,2026-07-13 10:40,SHORT,latch,-12644,-250.48,1,0.99
2026-07-13T05:35:00.000Z,2026-07-13 15:35,SHORT,latch,-8551,-142.86,1,0.979
2026-07-13T14:25:00.000Z,2026-07-14 00:25,SHORT,latch,-13348,-458.89,1,0.993
2026-07-13T18:20:00.000Z,2026-07-14 04:20,SHORT,latch,-4599,-156.89,0.944,0.882
2026-07-13T22:15:00.000Z,2026-07-14 08:15,LONG,instant,2696,102.38,1,0.757
2026-07-13T23:30:00.000Z,2026-07-14 09:30,LONG,instant,6459,130,1,0.931
2026-07-15T07:30:00.000Z,2026-07-15 17:30,SHORT,latch,-9777,-358.55,1,0.934
2026-07-15T16:25:00.000Z,2026-07-16 02:25,SHORT,latch,-8292,-35.62,1,0.955
2026-07-15T18:55:00.000Z,2026-07-16 04:55,SHORT,instant,-3291,-167.82,1,0.819
2026-07-16T07:45:00.000Z,2026-07-16 17:45,SHORT,latch,-3901,-349.62,0.944,0.889
2026-07-16T15:15:00.000Z,2026-07-17 01:15,SHORT,latch,-7012,-61.97,1,0.979
2026-07-16T23:25:00.000Z,2026-07-17 09:25,SHORT,latch,-16519,-382.19,1,1
2026-07-17T05:35:00.000Z,2026-07-17 15:35,SHORT,latch,-4145,-442.32,0.944,0.882
2026-07-17T13:15:00.000Z,2026-07-17 23:15,SHORT,latch,-5334,-506.11,1,0.927
2026-07-20T06:35:00.000Z,2026-07-20 16:35,SHORT,latch,-12326,-63.34,1,0.997
