ts_utc,qld,side,via,dOIc,delta_M,thumbRank,floorRank
2026-07-06T12:10:00.000Z,2026-07-06 22:10,SHORT,latch,-4246,-69.18,1,0.976
2026-07-12T22:50:00.000Z,2026-07-13 08:50,SHORT,latch,-3387,-47,1,0.885
2026-07-13T00:40:00.000Z,2026-07-13 10:40,SHORT,latch,-12644,-250.48,1,0.99
2026-07-13T05:35:00.000Z,2026-07-13 15:35,SHORT,latch,-8551,-142.86,1,0.979
2026-07-13T14:25:00.000Z,2026-07-14 00:25,SHORT,latch,-13348,-458.89,1,0.993
2026-07-13T18:20:00.000Z,2026-07-14 04:20,SHORT,latch,-4599,-156.89,0.944,0.882
2026-07-13T22:15:00.000Z,2026-07-14 08:15,LONG,instant,2696,102.38,1,0.757
2026-07-13T23:30:00.000Z,2026-07-14 09:30,LONG,instant,6459,130,1,0.931
2026-07-15T07:30:00.000Z,2026-07-15 17:30,SHORT,latch,-9777,-358.55,1,0.934
2026-07-15T16:25:00.000Z,2026-07-16 02:25,SHORT,latch,-8292,-35.62,1,0.955
2026-07-15T18:55:00.000Z,2026-07-16 04:55,SHORT,instant,-3291,-167.82,1,0.819
2026-07-16T07:45:00.000Z,2026-07-16 17:45,SHORT,latch,-3901,-349.62,0.944,0.889
2026-07-16T15:15:00.000Z,2026-07-17 01:15,SHORT,latch,-7012,-61.97,1,0.979
2026-07-16T23:25:00.000Z,2026-07-17 09:25,SHORT,latch,-16519,-382.19,1,1
2026-07-17T05:35:00.000Z,2026-07-17 15:35,SHORT,latch,-4145,-442.32,0.944,0.882
2026-07-17T13:15:00.000Z,2026-07-17 23:15,SHORT,latch,-5334,-506.11,1,0.927
2026-07-20T06:35:00.000Z,2026-07-20 16:35,SHORT,latch,-12326,-63.34,1,0.997
2026-07-22T18:25:00.000Z,2026-07-23 04:25,SHORT,latch,-3679,-5.1,1,0.896
2026-07-23T17:25:00.000Z,2026-07-24 03:25,LONG,instant,4961,72.25,0.944,0.917
2026-07-27T01:38:00.000Z,2026-07-27 11:38,SHORT,instant,-2440,-168.21,1,0.802
2026-07-27T12:41:00.000Z,2026-07-27 22:41,SHORT,latch,-3246,-36.65,1,0.91
2026-07-27T14:38:00.000Z,2026-07-28 00:38,SHORT,latch,-17000,-220.69,1,1
2026-07-27T22:41:00.000Z,2026-07-28 08:41,SHORT,latch,-9965,-264.85,1,0.986
2026-07-28T03:02:00.000Z,2026-07-28 13:02,LONG,instant,2576,34.97,0.944,0.816
2026-07-29T16:08:00.000Z,2026-07-30 02:08,SHORT,latch,-3001,-12.89,0.944,0.802
2026-08-02T22:41:00.000Z,2026-08-03 08:41,SHORT,instant,-6222,-292.78,1,0.927
2026-08-03T00:38:00.000Z,2026-08-03 10:38,SHORT,instant,-1819,-37.69,1,0.608
2026-08-07T17:04:00.000Z,2026-08-08 03:04,SHORT,latch,-6626,-250.92,1,0.979
2026-08-10T00:34:00.000Z,2026-08-10 10:34,SHORT,latch,-1702,-16.91,0.944,0.764
2026-08-10T15:04:00.000Z,2026-08-11 01:04,SHORT,latch,-5685,-417.12,0.944,0.91
2026-08-10T16:25:00.000Z,2026-08-11 02:25,SHORT,latch,-9011,-190.35,0.944,0.969
2026-08-12T14:14:00.000Z,2026-08-13 00:14,SHORT,latch,-10652,-246.51,0.944,0.99
2026-08-12T16:03:00.000Z,2026-08-13 02:03,SHORT,latch,-8252,-106.88,1,0.976
2026-08-12T22:04:00.000Z,2026-08-13 08:04,SHORT,latch,-2025,-39.41,0.944,0.819
2026-08-13T06:10:00.000Z,2026-08-13 16:10,SHORT,instant,-2223,-86.22,1,0.788
2026-08-13T16:40:00.000Z,2026-08-14 02:40,SHORT,latch,-17867,-477.95,1,1
2026-08-14T13:32:00.000Z,2026-08-14 23:32,LONG,instant,3764,52.41,1,0.931
2026-08-18T02:58:00.000Z,2026-08-18 12:58,SHORT,latch,-5225,-398.05,1,0.997
2026-08-18T05:38:00.000Z,2026-08-18 15:38,SHORT,latch,-2890,-71.31,1,0.931
2026-08-19T22:09:00.000Z,2026-08-20 08:09,SHORT,instant,-6635,-110.05,0.944,0.872
2026-08-19T22:44:00.000Z,2026-08-20 08:44,SHORT,instant,-6803,-159.8,0.944,0.872
2026-08-20T03:14:00.000Z,2026-08-20 13:14,SHORT,instant,-2819,-282.01,0.944,0.691
2026-08-20T07:26:00.000Z,2026-08-20 17:26,SHORT,instant,-6852,-146.4,1,0.878
