timestamp,block,unique_pairs,signal_count,eth_price,eth_delta,eth_direction,bias_score,bias_label,funding_rate,oi_h1_change,vol_h1_change,ls_long_pct,liq_long_pct,liq_total_usd,max_pain,max_pain_dist,pc_ratio,nq_price
2026-05-01T03:20:26.297Z,24997362,3,14,2283.81,7.29,UP,0,↔️ NEUTRAL,-0.004802,0.33,-3.24,62.64,0.6,8119200,2275,9,0.702,27651.75
2026-05-01T03:40:17.395Z,24997461,4,21,2279.36,-5.42,DOWN,-2,⬇️ SHORT,-0.004598,-0.22,4.35,55.13,1.3,14376564,2275,4,0.708,27647.25
2026-05-01T04:31:17.140Z,24997715,3,30,2277.36,-5.10,DOWN,1,↗️ LEAN LONG,-0.005072,-0.34,0.63,45.36,94.1,296331,2275,2,0.705,27631.00
2026-05-01T05:07:54.635Z,24997898,4,42,2284.03,5.41,UP,2,⬆️ LONG,-0.005068,0.09,-1.06,49.28,39.0,230137,2275,9,0.705,27631.00
2026-05-01T06:42:53.381Z,24998371,3,33,2277.75,-5.38,DOWN,-1,↘️ LEAN SHORT,-0.003777,-0.04,-1.06,48.4,80.5,642613,2275,3,0.712,27631.00
2026-05-01T11:21:54.954Z,24999762,3,43,2288.94,6.66,UP,1,↗️ LEAN LONG,-0.002152,0.34,-2.17,58.17,30.3,779768,2275,14,0.914,27631.00
2026-05-01T12:16:30.159Z,25000035,3,53,2289.78,5.47,UP,1,↗️ LEAN LONG,-0.00257,0.26,-0.88,52.68,1.9,1337918,2275,15,0.907,27631.00
2026-05-01T13:06:06.359Z,25000282,3,55,2308.56,5.84,UP,1,↗️ LEAN LONG,-0.001169,0.6,11.99,53.08,2.9,9172635,2275,34,0.866,27631.00
2026-05-01T13:34:15.405Z,25000423,3,40,2313.31,6.42,UP,1,↗️ LEAN LONG,-0.001948,0.54,6.61,50.24,4.9,5471230,2300,13,0.886,27631.00
2026-05-01T13:53:42.587Z,25000520,4,47,2316.31,7.05,UP,3,⬆️⬆️ STRONG LONG,-0.002646,0.77,4.86,49.68,17.3,6996138,2300,16,0.843,27631.00
2026-05-01T14:27:27.067Z,25000688,4,60,2308.10,-5.66,DOWN,1,↗️ LEAN LONG,-0.003624,0.62,3.71,49.99,19.7,9838850,2300,8,0.827,27631.00
2026-05-01T14:38:52.625Z,25000745,4,27,2301.51,-5.54,DOWN,0,↔️ NEUTRAL,-0.004007,-0.01,3.5,47.68,38.0,9992794,2300,2,0.848,27631.00
