qld_time,timestamp,spot,net_gex_usd_1pct,zero_gamma,call_wall,put_wall,n_strikes
2026-07-04 11:20:01,2026-07-04T01:20:01.698Z,1749.31,7904862,1690.69,1750,1600,612
2026-07-04 11:35:01,2026-07-04T01:35:01.647Z,1748.01,7664858,1691.83,1750,1600,612
2026-07-04 11:50:01,2026-07-04T01:50:01.762Z,1744.69,6937926,1692.60,1750,1600,613
2026-07-04 12:05:01,2026-07-04T02:05:01.673Z,1746.12,7264575,1693.30,1750,1600,613
2026-07-04 12:20:01,2026-07-04T02:20:01.789Z,1745.98,7247204,1693.95,1750,1600,613
2026-07-04 12:35:01,2026-07-04T02:35:01.700Z,1743.34,6700407,1694.30,1750,1600,613
2026-07-04 12:50:01,2026-07-04T02:50:01.692Z,1745.75,7301568,1695.22,1750,1600,613
2026-07-04 13:05:01,2026-07-04T03:05:01.673Z,1747.19,7617832,1696.68,1750,1600,613
2026-07-04 13:20:01,2026-07-04T03:20:01.679Z,1747.02,7579191,1697.52,1750,1600,613
2026-07-04 13:35:01,2026-07-04T03:35:01.646Z,1750.13,8363137,1698.41,1750,1600,613
2026-07-04 13:50:01,2026-07-04T03:50:01.674Z,1753.61,9136904,1699.92,1750,1600,613
2026-07-04 14:05:01,2026-07-04T04:05:01.683Z,1752.10,8809430,1700.42,1750,1600,613
2026-07-04 14:20:01,2026-07-04T04:20:01.674Z,1750.79,8501613,1700.89,1750,1600,613
2026-07-04 14:35:01,2026-07-04T04:35:01.670Z,1754.50,9314663,1701.34,1750,1600,613
2026-07-04 14:50:01,2026-07-04T04:50:01.679Z,1758.53,10098608,1701.91,1750,1600,613
2026-07-04 15:05:01,2026-07-04T05:05:01.692Z,1757.61,9854928,1702.57,1750,1600,613
2026-07-04 15:20:01,2026-07-04T05:20:01.667Z,1753.72,9085179,1702.52,1750,1600,613
2026-07-04 15:35:01,2026-07-04T05:35:01.676Z,1754.18,9172126,1704.25,1750,1600,613
2026-07-04 15:50:01,2026-07-04T05:50:01.676Z,1757.41,9809542,1704.94,1750,1600,613
2026-07-04 16:05:01,2026-07-04T06:05:01.649Z,1756.05,9507119,1705.22,1750,1600,613
2026-07-04 16:20:01,2026-07-04T06:20:01.704Z,1755.72,9354645,1705.67,1750,1600,613
2026-07-04 16:35:01,2026-07-04T06:35:01.681Z,1753.81,9254928,1706.73,1750,1600,613
2026-07-04 16:50:01,2026-07-04T06:50:01.688Z,1753.31,9065862,1707.92,1750,1600,614
2026-07-04 17:05:01,2026-07-04T07:05:01.694Z,1752.52,8973319,1707.81,1750,1600,614
2026-07-04 17:20:01,2026-07-04T07:20:01.668Z,1754.10,8826508,1707.69,1750,1600,614
2026-07-04 17:35:01,2026-07-04T07:35:01.708Z,1753.68,8699243,1707.21,1750,1600,614
2026-07-04 17:50:01,2026-07-04T07:50:01.687Z,1755.57,7924760,1706.29,1800,1600,614
2026-07-04 18:05:01,2026-07-04T08:05:01.699Z,1757.02,8211036,1656.73,1800,1600,583
2026-07-04 18:20:01,2026-07-04T08:20:01.694Z,1758.27,8213730,1657.50,1800,1600,583
2026-07-04 18:35:01,2026-07-04T08:35:01.686Z,1759.35,8272474,1657.67,1800,1600,583
2026-07-04 18:50:01,2026-07-04T08:50:01.667Z,1762.34,8553776,1657.99,1800,1600,585
2026-07-04 19:05:01,2026-07-04T09:05:01.692Z,1758.19,8094678,1658.97,1800,1600,586
2026-07-04 19:20:01,2026-07-04T09:20:01.702Z,1759.60,8277940,1658.76,1800,1600,588
2026-07-04 19:35:01,2026-07-04T09:35:01.664Z,1756.28,7920712,1658.54,1800,1600,588
2026-07-04 19:50:01,2026-07-04T09:50:01.778Z,1755.44,7867008,1658.24,1800,1600,588
2026-07-04 20:05:01,2026-07-04T10:05:01.694Z,1756.51,7989338,1658.30,1800,1600,588
2026-07-04 20:20:01,2026-07-04T10:20:01.664Z,1758.83,8239648,1658.77,1800,1600,588
2026-07-04 20:35:01,2026-07-04T10:35:01.710Z,1757.80,8125039,1658.99,1800,1600,588
2026-07-04 20:50:01,2026-07-04T10:50:01.714Z,1757.76,8139409,1658.98,1800,1600,588
2026-07-04 21:05:01,2026-07-04T11:05:01.697Z,1755.83,7905505,1660.28,1800,1600,588
2026-07-04 21:20:01,2026-07-04T11:20:01.686Z,1755.81,7915076,1660.28,1800,1600,588
2026-07-04 21:35:01,2026-07-04T11:35:01.736Z,1758.63,8244953,1660.29,1800,1600,589
2026-07-04 21:50:02,2026-07-04T11:50:02.076Z,1756.33,7982676,1660.18,1800,1600,589
2026-07-04 22:05:01,2026-07-04T12:05:01.725Z,1759.72,8356119,1660.45,1800,1600,589
2026-07-04 22:20:01,2026-07-04T12:20:01.705Z,1759.47,8303967,1660.92,1800,1600,589
2026-07-04 22:35:01,2026-07-04T12:35:01.731Z,1763.01,9019450,1661.83,1800,1600,589
