ts_utc,qld,order,side,qty,price,position,pos_avg
2026-07-27T09:00:00.000Z,2026-07-27 19:00,pipe-test,Flat,0,0,,0
2026-07-27T01:39:04.949Z,2026-07-27 11:39,Predatorinstant,Short,1,28607.25,Short,28607.25
2026-07-27T05:20:43.774Z,2026-07-27 15:20,Stop loss,Long,1,28682.25,Flat,0
2026-07-27T12:42:04.927Z,2026-07-27 22:42,Predatorlatch,Short,1,28665,Short,28665
2026-07-27T14:25:20.446Z,2026-07-28 00:25,Profit target,Long,1,28164.75,Flat,0
2026-07-27T14:39:05.476Z,2026-07-28 00:39,Predatorlatch,Short,1,28039.25,Short,28039.25
2026-07-27T14:51:05.886Z,2026-07-28 00:51,Stop loss,Long,1,28114.25,Flat,0
2026-07-27T22:42:05.240Z,2026-07-28 08:42,Predatorlatch,Short,1,28135.5,Short,28135.5
2026-07-28T14:14:06.092Z,2026-07-29 00:14,Profit target,Long,1,27635.5,Flat,0
2026-08-02T22:42:04.959Z,2026-08-03 08:42,Predatorinstant,Short,1,28608,Short,28608
2026-08-03T03:50:31.942Z,2026-08-03 13:50,Stop loss,Long,1,28683,Flat,0
2026-08-07T17:05:04.008Z,2026-08-08 03:05,Predatorlatch,Short,1,29744,Short,29744
2026-08-07T19:15:56.994Z,2026-08-08 05:15,Stop loss,Long,1,29819,Flat,0
2026-08-10T00:35:07.112Z,2026-08-10 10:35,Predatorlatch,Short,1,29852.25,Short,29852.25
2026-08-10T05:55:16.749Z,2026-08-10 15:55,Stop loss,Long,1,29927.25,Flat,0
2026-08-10T15:05:05.406Z,2026-08-11 01:05,Predatorlatch,Short,1,29801,Short,29801
2026-08-10T20:59:31.117Z,2026-08-11 06:59,Exit on session close,Long,1,29766.25,Flat,0
2026-08-14T13:33:06.144Z,2026-08-14 23:33,Predatorinstant,Long,1,30228.5,Long,30228.5
2026-08-14T14:24:37.351Z,2026-08-15 00:24,Stop loss,Short,1,30153.5,Flat,0
2026-08-18T02:59:05.448Z,2026-08-18 12:59,Predatorlatch,Short,1,29908.25,Short,29908.25
2026-08-18T20:59:31.001Z,2026-08-19 06:59,Exit on session close,Long,1,29561.25,Flat,0
2026-08-19T22:10:05.974Z,2026-08-20 08:10,Predatorinstant,Short,1,29606.75,Short,29606.75
2026-08-19T23:01:40.410Z,2026-08-20 09:01,Stop loss,Long,1,29682,Flat,0
2026-08-20T03:15:05.502Z,2026-08-20 13:15,Predatorinstant,Short,1,29625.25,Short,29625.25
2026-08-20T20:59:30.273Z,2026-08-21 06:59,Exit on session close,Long,1,29307.25,Flat,0
2026-07-06T12:11:00.000Z,2026-07-06 22:11,Predatorlatch,Short,1,29927.25,Short,29927.25
2026-07-06T13:52:00.000Z,2026-07-06 23:52,Stop loss,Long,1,30002.25,Flat,0
2026-07-13T00:03:00.000Z,2026-07-13 10:03,Stop loss,Long,1,29953.25,Flat,0
2026-07-12T22:51:00.000Z,2026-07-13 08:51,Predatorlatch,Short,1,29878.25,Short,29878.25
2026-07-13T20:18:00.000Z,2026-07-14 06:18,Profit target,Long,1,29393.5,Flat,0
2026-07-13T00:41:00.000Z,2026-07-13 10:41,Predatorlatch,Short,1,29893.5,Short,29893.5
2026-07-13T23:05:00.000Z,2026-07-14 09:05,Stop loss,Short,1,29377.5,Flat,0
2026-07-13T22:16:00.000Z,2026-07-14 08:16,Predatorinstant,Long,1,29452.5,Long,29452.5
2026-07-14T12:31:00.000Z,2026-07-14 22:31,Profit target,Short,1,29867.75,Flat,0
2026-07-13T23:31:00.000Z,2026-07-14 09:31,Predatorinstant,Long,1,29367.75,Long,29367.75
2026-07-15T16:17:00.000Z,2026-07-16 02:17,Profit target,Long,1,29467.5,Flat,0
2026-07-15T07:31:00.000Z,2026-07-15 17:31,Predatorlatch,Short,1,29967.5,Short,29967.5
2026-07-16T21:00:00.000Z,2026-07-17 07:00,Exit on session close,Long,1,29178.5,Flat,0
2026-07-16T07:46:00.000Z,2026-07-16 17:46,Predatorlatch,Short,1,29570.25,Short,29570.25
2026-07-17T08:18:00.000Z,2026-07-17 18:18,Profit target,Long,1,28591.25,Flat,0
2026-07-16T23:26:00.000Z,2026-07-17 09:26,Predatorlatch,Short,1,29091.25,Short,29091.25
2026-07-20T07:27:00.000Z,2026-07-20 17:27,Stop loss,Long,1,28853.5,Flat,0
2026-07-20T06:36:00.000Z,2026-07-20 16:36,Predatorlatch,Short,1,28778.5,Short,28778.5
2026-07-27T05:19:00.000Z,2026-07-27 15:19,Stop loss,Long,1,28681.75,Flat,0
2026-07-27T01:41:00.000Z,2026-07-27 11:41,Predatorinstant,Short,1,28606.75,Short,28606.75
2026-08-18T21:00:00.000Z,2026-08-19 07:00,Exit on session close,Long,1,29560,Flat,0
2026-07-27T14:51:00.000Z,2026-07-28 00:51,Stop loss,Long,1,28106.75,Flat,0
2026-07-27T14:41:00.000Z,2026-07-28 00:41,Predatorlatch,Short,1,28031.75,Short,28031.75
2026-07-28T14:15:00.000Z,2026-07-29 00:15,Profit target,Long,1,27634.5,Flat,0
2026-07-27T22:46:00.000Z,2026-07-28 08:46,Predatorlatch,Short,1,28134.5,Short,28134.5
2026-08-03T03:51:00.000Z,2026-08-03 13:51,Stop loss,Long,1,28688,Flat,0
2026-08-02T22:41:00.000Z,2026-08-03 08:41,Predatorinstant,Short,1,28613,Short,28613
2026-08-07T14:20:00.000Z,2026-08-08 00:20,Stop loss,Long,1,29706,Flat,0
2026-08-07T14:11:00.000Z,2026-08-08 00:11,Predatorlatch,Short,1,29631,Short,29631
2026-08-12T21:00:00.000Z,2026-08-13 07:00,Exit on session close,Long,1,29807.25,Flat,0
2026-08-12T14:16:00.000Z,2026-08-13 00:16,Predatorlatch,Short,1,29893,Short,29893
2026-08-13T04:04:00.000Z,2026-08-13 14:04,Stop loss,Long,1,29884.25,Flat,0
2026-08-12T22:06:00.000Z,2026-08-13 08:06,Predatorlatch,Short,1,29809.25,Short,29809.25
2026-08-13T13:36:00.000Z,2026-08-13 23:36,Stop loss,Long,1,29961.75,Flat,0
2026-08-13T06:11:00.000Z,2026-08-13 16:11,Predatorinstant,Short,1,29886.75,Short,29886.75
2026-08-14T14:31:00.000Z,2026-08-15 00:31,Stop loss,Short,1,30131,Flat,0
2026-08-14T13:36:00.000Z,2026-08-14 23:36,Predatorinstant,Long,1,30206,Long,30206
2026-08-18T03:01:00.000Z,2026-08-18 13:01,Predatorlatch,Short,1,29909.25,Short,29909.25
2026-07-27T01:41:00.000Z,2026-07-27 11:41,Predatorinstant,Short,1,28606.75,Short,28606.75
2026-07-27T05:19:00.000Z,2026-07-27 15:19,Stop loss,Long,1,28681.75,Flat,0
2026-07-27T14:51:00.000Z,2026-07-28 00:51,Stop loss,Long,1,28106.75,Flat,0
2026-07-27T14:41:00.000Z,2026-07-28 00:41,Predatorlatch,Short,1,28031.75,Short,28031.75
2026-07-28T14:15:00.000Z,2026-07-29 00:15,Profit target,Long,1,27634.5,Flat,0
2026-07-27T22:46:00.000Z,2026-07-28 08:46,Predatorlatch,Short,1,28134.5,Short,28134.5
2026-08-03T03:51:00.000Z,2026-08-03 13:51,Stop loss,Long,1,28688,Flat,0
2026-08-02T22:41:00.000Z,2026-08-03 08:41,Predatorinstant,Short,1,28613,Short,28613
2026-08-07T14:20:00.000Z,2026-08-08 00:20,Stop loss,Long,1,29706,Flat,0
2026-08-07T14:11:00.000Z,2026-08-08 00:11,Predatorlatch,Short,1,29631,Short,29631
2026-08-12T21:00:00.000Z,2026-08-13 07:00,Exit on session close,Long,1,29807.25,Flat,0
2026-08-12T14:16:00.000Z,2026-08-13 00:16,Predatorlatch,Short,1,29893,Short,29893
2026-08-13T04:04:00.000Z,2026-08-13 14:04,Stop loss,Long,1,29884.25,Flat,0
2026-08-12T22:06:00.000Z,2026-08-13 08:06,Predatorlatch,Short,1,29809.25,Short,29809.25
2026-08-13T13:36:00.000Z,2026-08-13 23:36,Stop loss,Long,1,29961.75,Flat,0
2026-08-13T06:11:00.000Z,2026-08-13 16:11,Predatorinstant,Short,1,29886.75,Short,29886.75
2026-08-14T14:31:00.000Z,2026-08-15 00:31,Stop loss,Short,1,30131,Flat,0
2026-08-14T13:36:00.000Z,2026-08-14 23:36,Predatorinstant,Long,1,30206,Long,30206
2026-08-18T21:00:00.000Z,2026-08-19 07:00,Exit on session close,Long,1,29560,Flat,0
2026-08-18T03:01:00.000Z,2026-08-18 13:01,Predatorlatch,Short,1,29909.25,Short,29909.25
2026-07-27T01:41:00.000Z,2026-07-27 11:41,Predatorinstant,Short,1,28606.75,Short,28606.75
2026-07-27T05:19:00.000Z,2026-07-27 15:19,Stop loss,Long,1,28681.75,Flat,0
2026-07-27T14:51:00.000Z,2026-07-28 00:51,Stop loss,Long,1,28106.75,Flat,0
2026-07-27T14:41:00.000Z,2026-07-28 00:41,Predatorlatch,Short,1,28031.75,Short,28031.75
2026-07-28T14:15:00.000Z,2026-07-29 00:15,Profit target,Long,1,27634.5,Flat,0
2026-07-27T22:46:00.000Z,2026-07-28 08:46,Predatorlatch,Short,1,28134.5,Short,28134.5
2026-08-03T03:51:00.000Z,2026-08-03 13:51,Stop loss,Long,1,28688,Flat,0
2026-08-02T22:41:00.000Z,2026-08-03 08:41,Predatorinstant,Short,1,28613,Short,28613
2026-08-07T14:20:00.000Z,2026-08-08 00:20,Stop loss,Long,1,29706,Flat,0
2026-08-07T14:11:00.000Z,2026-08-08 00:11,Predatorlatch,Short,1,29631,Short,29631
2026-08-12T21:00:00.000Z,2026-08-13 07:00,Exit on session close,Long,1,29807.25,Flat,0
2026-08-12T14:16:00.000Z,2026-08-13 00:16,Predatorlatch,Short,1,29893,Short,29893
2026-08-13T04:04:00.000Z,2026-08-13 14:04,Stop loss,Long,1,29884.25,Flat,0
2026-08-12T22:06:00.000Z,2026-08-13 08:06,Predatorlatch,Short,1,29809.25,Short,29809.25
2026-08-13T13:36:00.000Z,2026-08-13 23:36,Stop loss,Long,1,29961.75,Flat,0
2026-08-13T06:11:00.000Z,2026-08-13 16:11,Predatorinstant,Short,1,29886.75,Short,29886.75
2026-08-14T14:31:00.000Z,2026-08-15 00:31,Stop loss,Short,1,30131,Flat,0
2026-08-14T13:36:00.000Z,2026-08-14 23:36,Predatorinstant,Long,1,30206,Long,30206
2026-08-18T21:00:00.000Z,2026-08-19 07:00,Exit on session close,Long,1,29560,Flat,0
2026-08-18T03:01:00.000Z,2026-08-18 13:01,Predatorlatch,Short,1,29909.25,Short,29909.25
2026-07-27T01:41:00.000Z,2026-07-27 11:41,Predatorinstant,Short,1,28606.75,Short,28606.75
2026-07-27T05:19:00.000Z,2026-07-27 15:19,Stop loss,Long,1,28681.75,Flat,0
