ts_utc,qld,order,side,qty,price,position,pos_avg
2026-07-27T09:00:00.000Z,2026-07-27 19:00,pipe-test,Flat,0,0,,0
2026-07-27T01:39:04.949Z,2026-07-27 11:39,Predatorinstant,Short,1,28607.25,Short,28607.25
2026-07-27T05:20:43.774Z,2026-07-27 15:20,Stop loss,Long,1,28682.25,Flat,0
2026-07-27T12:42:04.927Z,2026-07-27 22:42,Predatorlatch,Short,1,28665,Short,28665
2026-07-27T14:25:20.446Z,2026-07-28 00:25,Profit target,Long,1,28164.75,Flat,0
2026-07-27T14:39:05.476Z,2026-07-28 00:39,Predatorlatch,Short,1,28039.25,Short,28039.25
2026-07-27T14:51:05.886Z,2026-07-28 00:51,Stop loss,Long,1,28114.25,Flat,0
2026-07-27T22:42:05.240Z,2026-07-28 08:42,Predatorlatch,Short,1,28135.5,Short,28135.5
2026-07-28T14:14:06.092Z,2026-07-29 00:14,Profit target,Long,1,27635.5,Flat,0
2026-08-02T22:42:04.959Z,2026-08-03 08:42,Predatorinstant,Short,1,28608,Short,28608
2026-08-03T03:50:31.942Z,2026-08-03 13:50,Stop loss,Long,1,28683,Flat,0
2026-08-07T17:05:04.008Z,2026-08-08 03:05,Predatorlatch,Short,1,29744,Short,29744
2026-08-07T19:15:56.994Z,2026-08-08 05:15,Stop loss,Long,1,29819,Flat,0
2026-08-10T00:35:07.112Z,2026-08-10 10:35,Predatorlatch,Short,1,29852.25,Short,29852.25
2026-08-10T05:55:16.749Z,2026-08-10 15:55,Stop loss,Long,1,29927.25,Flat,0
2026-08-10T15:05:05.406Z,2026-08-11 01:05,Predatorlatch,Short,1,29801,Short,29801
2026-08-10T20:59:31.117Z,2026-08-11 06:59,Exit on session close,Long,1,29766.25,Flat,0
2026-08-14T13:33:06.144Z,2026-08-14 23:33,Predatorinstant,Long,1,30228.5,Long,30228.5
2026-08-14T14:24:37.351Z,2026-08-15 00:24,Stop loss,Short,1,30153.5,Flat,0
2026-08-18T02:59:05.448Z,2026-08-18 12:59,Predatorlatch,Short,1,29908.25,Short,29908.25
2026-08-18T20:59:31.001Z,2026-08-19 06:59,Exit on session close,Long,1,29561.25,Flat,0
2026-08-19T22:10:05.974Z,2026-08-20 08:10,Predatorinstant,Short,1,29606.75,Short,29606.75
2026-08-19T23:01:40.410Z,2026-08-20 09:01,Stop loss,Long,1,29682,Flat,0
2026-08-20T03:15:05.502Z,2026-08-20 13:15,Predatorinstant,Short,1,29625.25,Short,29625.25
2026-08-20T20:59:30.273Z,2026-08-21 06:59,Exit on session close,Long,1,29307.25,Flat,0
