ts_utc,qld,order,side,qty,price,position,pos_avg
2026-07-06T12:11:00.000Z,2026-07-06 22:11,Predatorlatch,Short,1,29927.25,Short,29927.25
2026-07-06T13:52:00.000Z,2026-07-06 23:52,Stop loss,Long,1,30002.25,Flat,0
2026-07-13T00:03:00.000Z,2026-07-13 10:03,Stop loss,Long,1,29953.25,Flat,0
2026-07-12T22:51:00.000Z,2026-07-13 08:51,Predatorlatch,Short,1,29878.25,Short,29878.25
2026-07-13T20:18:00.000Z,2026-07-14 06:18,Profit target,Long,1,29393.5,Flat,0
2026-07-13T00:41:00.000Z,2026-07-13 10:41,Predatorlatch,Short,1,29893.5,Short,29893.5
2026-07-13T23:05:00.000Z,2026-07-14 09:05,Stop loss,Short,1,29377.5,Flat,0
2026-07-13T22:16:00.000Z,2026-07-14 08:16,Predatorinstant,Long,1,29452.5,Long,29452.5
2026-07-14T12:31:00.000Z,2026-07-14 22:31,Profit target,Short,1,29867.75,Flat,0
2026-07-13T23:31:00.000Z,2026-07-14 09:31,Predatorinstant,Long,1,29367.75,Long,29367.75
2026-07-15T16:26:00.000Z,2026-07-16 02:26,Predatorlatch,Short,1,29441,Short,29441
2026-07-15T07:31:00.000Z,2026-07-15 17:31,Predatorlatch,Short,1,29967.5,Short,29967.5
2026-07-15T16:47:00.000Z,2026-07-16 02:47,Stop loss,Long,1,29516,Flat,0
2026-07-15T16:17:00.000Z,2026-07-16 02:17,Profit target,Long,1,29467.5,Flat,0
2026-07-16T21:00:00.000Z,2026-07-17 07:00,Exit on session close,Long,1,29178.5,Flat,0
2026-07-16T07:46:00.000Z,2026-07-16 17:46,Predatorlatch,Short,1,29570.25,Short,29570.25
2026-07-17T08:18:00.000Z,2026-07-17 18:18,Profit target,Long,1,28591.25,Flat,0
2026-07-17T14:01:00.000Z,2026-07-18 00:01,Stop loss,Long,1,28696.75,Flat,0
2026-07-16T23:26:00.000Z,2026-07-17 09:26,Predatorlatch,Short,1,29091.25,Short,29091.25
2026-07-20T07:27:00.000Z,2026-07-20 17:27,Stop loss,Long,1,28853.5,Flat,0
2026-07-17T13:16:00.000Z,2026-07-17 23:16,Predatorlatch,Short,1,28621.75,Short,28621.75
2026-07-23T17:38:00.000Z,2026-07-24 03:38,Stop loss,Short,1,28589.5,Flat,0
2026-07-20T06:36:00.000Z,2026-07-20 16:36,Predatorlatch,Short,1,28778.5,Short,28778.5
2026-07-23T17:26:00.000Z,2026-07-24 03:26,Predatorinstant,Long,1,28664.5,Long,28664.5
2026-07-06T12:11:00.000Z,2026-07-06 22:11,Predatorlatch,Short,1,29927.25,Short,29927.25
2026-07-06T13:52:00.000Z,2026-07-06 23:52,Stop loss,Long,1,30002.25,Flat,0
2026-07-12T22:51:00.000Z,2026-07-13 08:51,Predatorlatch,Short,1,29878.25,Short,29878.25
2026-07-13T00:41:00.000Z,2026-07-13 10:41,Predatorlatch,Short,1,29893.5,Short,29893.5
2026-07-13T00:03:00.000Z,2026-07-13 10:03,Stop loss,Long,1,29953.25,Flat,0
2026-07-13T22:16:00.000Z,2026-07-14 08:16,Predatorinstant,Long,1,29452.5,Long,29452.5
2026-07-13T20:18:00.000Z,2026-07-14 06:18,Profit target,Long,1,29393.5,Flat,0
2026-07-13T23:31:00.000Z,2026-07-14 09:31,Predatorinstant,Long,1,29367.75,Long,29367.75
2026-07-13T23:05:00.000Z,2026-07-14 09:05,Stop loss,Short,1,29377.5,Flat,0
2026-07-15T07:31:00.000Z,2026-07-15 17:31,Predatorlatch,Short,1,29967.5,Short,29967.5
2026-07-14T12:31:00.000Z,2026-07-14 22:31,Profit target,Short,1,29867.75,Flat,0
2026-07-15T16:26:00.000Z,2026-07-16 02:26,Predatorlatch,Short,1,29441,Short,29441
2026-07-15T16:17:00.000Z,2026-07-16 02:17,Profit target,Long,1,29467.5,Flat,0
2026-07-16T07:46:00.000Z,2026-07-16 17:46,Predatorlatch,Short,1,29570.25,Short,29570.25
2026-07-15T16:47:00.000Z,2026-07-16 02:47,Stop loss,Long,1,29516,Flat,0
2026-07-16T23:26:00.000Z,2026-07-17 09:26,Predatorlatch,Short,1,29091.25,Short,29091.25
2026-07-16T21:00:00.000Z,2026-07-17 07:00,Exit on session close,Long,1,29178.5,Flat,0
2026-07-17T13:16:00.000Z,2026-07-17 23:16,Predatorlatch,Short,1,28621.75,Short,28621.75
2026-07-17T08:18:00.000Z,2026-07-17 18:18,Profit target,Long,1,28591.25,Flat,0
2026-07-20T06:36:00.000Z,2026-07-20 16:36,Predatorlatch,Short,1,28778.5,Short,28778.5
2026-07-17T14:01:00.000Z,2026-07-18 00:01,Stop loss,Long,1,28696.75,Flat,0
2026-07-23T17:26:00.000Z,2026-07-24 03:26,Predatorinstant,Long,1,28664.5,Long,28664.5
2026-07-20T07:27:00.000Z,2026-07-20 17:27,Stop loss,Long,1,28853.5,Flat,0
2026-07-23T17:38:00.000Z,2026-07-24 03:38,Stop loss,Short,1,28589.5,Flat,0
2026-07-27T00:00:00.000Z,2026-07-27 10:00,test,Flat,0,0,,0
