ts_utc,qld,side,via,dOIc,delta_M,thumbRank,floorRank,liqL_M,liqS_M,smokePct,rank,level
2026-07-06T12:08:00.000Z,2026-07-06 22:08,SHORT,latch,-3037,-100.02,0.944,0.934,7.83,0.2,0.999,0.24861584327086883,0.003561
2026-07-12T22:48:00.000Z,2026-07-13 08:48,SHORT,latch,-3369,-19.34,1,0.878,0.02,0.02,0.757,0.09793844033536235,0.001186
2026-07-13T00:39:00.000Z,2026-07-13 10:39,SHORT,latch,-4276,-173.84,0.944,0.924,0.09,0,0.859,0.2860793659909263,0.003119
2026-07-13T05:01:00.000Z,2026-07-13 15:01,SHORT,latch,-4269,-37.93,1,0.903,1.09,0,0.973,0.06802779692166322,0.001039
2026-07-13T05:32:00.000Z,2026-07-13 15:32,SHORT,latch,-8498,-54.07,1,0.976,0.35,0,0.935,0.04269553233030895,0.000542
2026-07-13T14:21:00.000Z,2026-07-14 00:21,SHORT,latch,-7662,-303.9,1,0.951,0.29,0.01,0.921,0.20756341099506484,0.002345
2026-07-13T17:53:00.000Z,2026-07-14 03:53,SHORT,latch,-4130,-186.35,0.944,0.868,0.91,0,0.964,0.17892564352462306,0.002059
2026-07-13T18:24:00.000Z,2026-07-14 04:24,SHORT,latch,-6784,-258.76,0.944,0.927,2.11,0,0.984,0.07063815148213978,0.000999
2026-07-13T23:27:00.000Z,2026-07-14 09:27,LONG,instant,4369,108.76,0.944,0.865,0,0.07,0.826,0.012957229675495929,-0.00083
2026-07-13T23:58:00.000Z,2026-07-14 09:58,LONG,instant,18719,250.93,0.944,0.993,0,0.39,0.945,0.028953101708519665,-0.000077
2026-07-15T07:28:00.000Z,2026-07-15 17:28,SHORT,latch,-10107,-257.53,1,0.951,3.61,0,0.996,0.51904871191692,0.004896
2026-07-15T16:23:00.000Z,2026-07-16 02:23,SHORT,latch,-8108,-17.84,1,0.955,0.4,0,0.951,0.9463455244875696,0.008828
2026-07-15T18:55:00.000Z,2026-07-16 04:55,SHORT,instant,-3291,-167.82,1,0.819,0.01,0,0.76,0.989175376134145,0.01
2026-07-16T07:41:00.000Z,2026-07-16 17:41,SHORT,latch,-4020,-309.95,1,0.896,2.99,0,0.993,0.5431801227979572,0.005364
2026-07-16T08:21:00.000Z,2026-07-16 18:21,SHORT,latch,-5230,-201.77,1,0.938,18.76,0,1,0.5956946039035591,0.005703
2026-07-16T15:02:00.000Z,2026-07-17 01:02,SHORT,latch,-4838,-195.89,0.944,0.938,0.57,0.01,0.955,0.16842497563213119,0.001979
2026-07-16T23:24:00.000Z,2026-07-17 09:24,SHORT,latch,-15812,-389.67,1,1,1.42,0,0.975,0.874992835444489,0.008237
2026-07-17T05:32:00.000Z,2026-07-17 15:32,SHORT,latch,-4434,-377.95,1,0.906,1.2,0,0.967,0.3463014954449092,0.003662
2026-07-17T13:12:00.000Z,2026-07-17 23:12,SHORT,latch,-4528,-467.09,1,0.913,8.16,0,0.999,0.07667201099404489,0.000891
2026-07-20T06:34:00.000Z,2026-07-20 16:34,SHORT,latch,-12059,-58.47,1,0.997,1.63,0,0.978,0.18224780890187317,0.001862
2026-07-22T18:23:00.000Z,2026-07-23 04:23,SHORT,latch,-4986,-18.45,1,0.924,3.07,0.01,0.991,0.9335522558537979,0.007763
2026-07-27T01:38:00.000Z,2026-07-27 11:38,SHORT,instant,-2440,-168.21,1,0.802,0.43,0,0.957,0.9908772735096678,0.01
2026-07-27T12:41:00.000Z,2026-07-27 22:41,SHORT,latch,-3246,-36.65,1,0.91,1.01,0.04,0.981,0.7680947465014911,0.005647
2026-07-27T14:38:00.000Z,2026-07-28 00:38,SHORT,latch,-17000,-220.69,1,1,4.21,0.37,0.996,0.46148326732104933,0.003377
2026-07-27T22:41:00.000Z,2026-07-28 08:41,SHORT,latch,-9965,-264.85,1,0.986,1.35,0,0.981,0.7866498161764706,0.005931
2026-07-29T16:01:00.000Z,2026-07-30 02:01,SHORT,latch,-3949,-57.86,1,0.872,0.14,0,0.874,0.33271119278699823,0.002143
2026-08-02T22:40:00.000Z,2026-08-03 08:40,SHORT,instant,-6222,-292.86,1,0.927,0.1,0,0.842,0.9835499827447372,0.01
2026-08-03T00:38:00.000Z,2026-08-03 10:38,SHORT,instant,-1819,-37.69,1,0.608,0.22,0,0.891,0.9805691290600748,0.01
2026-08-06T05:22:00.000Z,2026-08-06 15:22,LONG,latch,4082,218.01,1,0.903,0,0.67,0.973,0.07783641160949868,-0.002323
2026-08-07T14:10:00.000Z,2026-08-08 00:10,SHORT,latch,-17867,-338.07,1,1,1.13,0.07,0.985,0.8940465328467153,0.008027
2026-08-07T17:03:00.000Z,2026-08-08 03:03,SHORT,latch,-6678,-251.09,1,0.979,0.6,0,0.978,0.3499144811858609,0.002196
2026-08-10T00:34:00.000Z,2026-08-10 10:34,SHORT,latch,-1702,-16.91,0.944,0.764,0.19,0,0.948,0.5318215486297078,0.004258
2026-08-10T15:00:00.000Z,2026-08-11 01:00,SHORT,latch,-5148,-234.71,0.944,0.885,1.76,0,0.999,0.43715147376806646,0.003019
2026-08-10T16:25:00.000Z,2026-08-11 02:25,SHORT,latch,-9011,-190.35,0.944,0.969,1.08,0,0.988,0.2208342818119736,0.000785
2026-08-12T14:14:00.000Z,2026-08-13 00:14,SHORT,latch,-11123,-208.08,0.944,0.99,1.05,0.22,0.988,0.9112862082648376,0.008495
2026-08-12T16:04:00.000Z,2026-08-13 02:04,SHORT,latch,-8041,-121.21,0.944,0.969,0.04,0,0.875,0.675178551184673,0.00558
2026-08-12T22:01:00.000Z,2026-08-13 08:01,SHORT,latch,-1893,-0.64,0.944,0.813,0.19,0.04,0.943,0.7758630447085456,0.006728
2026-08-13T16:40:00.000Z,2026-08-14 02:40,SHORT,latch,-17867,-477.95,1,1,2.09,0,0.994,0.7053429929816618,0.005909
2026-08-18T02:57:00.000Z,2026-08-18 12:57,SHORT,latch,-5349,-389.42,1,0.997,2.09,0.03,0.994,0.25967942205666555,0.002232
2026-08-18T05:37:00.000Z,2026-08-18 15:37,SHORT,latch,-2890,-76.82,1,0.927,0.02,0,0.842,0.23782380495513292,0.001788
2026-08-19T22:09:00.000Z,2026-08-20 08:09,SHORT,instant,-6635,-110.05,0.944,0.872,1.88,0.01,0.991,0.9682226110515324,0.01
2026-08-19T22:44:00.000Z,2026-08-20 08:44,SHORT,instant,-6803,-159.8,0.944,0.872,2.58,0.26,0.994,0.9675852721933589,0.01
2026-08-20T03:14:00.000Z,2026-08-20 13:14,SHORT,instant,-2819,-282.01,0.944,0.691,5.09,0,1,0.9617059788449573,0.01
2026-08-20T07:25:00.000Z,2026-08-20 17:25,SHORT,instant,-6852,-146.23,1,0.875,0.31,0,0.951,0.955636034404708,0.01
2026-09-04T16:46:00.000Z,2026-09-05 02:46,LONG,instant,2561,145.92,1,0.771,0.01,0.85,0.97,0.029689000960614793,-0.000019
2026-09-09T15:07:00.000Z,2026-09-10 01:07,SHORT,latch,-5186,-67.9,1,0.944,1.03,0.03,0.982,0.5423689138576779,0.005052
2026-09-14T13:12:00.000Z,2026-09-14 23:12,SHORT,latch,-7286,-562.13,1,0.951,1.3,0,0.964,0.6490074004463762,0.005923
2026-09-15T08:23:00.000Z,2026-09-15 18:23,LONG,instant,1891,67.82,0.944,0.722,0.03,0.15,0.897,0.010736829685564274,-0.008689
2026-09-15T10:52:00.000Z,2026-09-15 20:52,LONG,instant,4387,271.3,1,0.948,0,0.06,0.839,0.01598442845346231,-0.008751
2026-09-15T17:55:00.000Z,2026-09-16 03:55,LONG,latch,2405,42.85,0.944,0.778,0.02,0.4,0.954,0.09033725119603095,-0.002034
2026-09-16T13:55:00.000Z,2026-09-16 23:55,LONG,latch,4262,26.75,1,0.927,0.05,0.05,0.805,0.15401205388796974,-0.001037
