ts_utc,qld,side,via,dOIc,delta_M,thumbRank,floorRank,liqL_M,liqS_M,smokePct,rank,level
2026-07-06T12:10:00.000Z,2026-07-06 22:10,SHORT,latch,-4246,-69.18,1,0.976,7.83,0.2,0.999,0.24675324675324675,0.003515
2026-07-12T22:50:00.000Z,2026-07-13 08:50,SHORT,latch,-3387,-47,1,0.885,0.02,0,0.759,0.10434133455840129,0.001268
2026-07-13T00:40:00.000Z,2026-07-13 10:40,SHORT,latch,-12644,-250.48,1,0.99,0.87,0,0.967,0.2790317022742936,0.003059
2026-07-13T05:35:00.000Z,2026-07-13 15:35,SHORT,latch,-8551,-142.86,1,0.979,0.35,0,0.935,0.03620650051682554,0.000434
2026-07-13T14:25:00.000Z,2026-07-14 00:25,SHORT,latch,-13348,-458.89,1,0.993,0.29,0.01,0.929,0.21229771605646736,0.0024
2026-07-13T18:20:00.000Z,2026-07-14 04:20,SHORT,latch,-4599,-156.89,0.944,0.882,2.11,0,0.988,0.08184737113697609,0.001154
2026-07-13T23:30:00.000Z,2026-07-14 09:30,LONG,instant,6459,130,1,0.931,0,0.07,0.821,0.014103078598864874,-0.000744
2026-07-15T07:30:00.000Z,2026-07-15 17:30,SHORT,latch,-9777,-358.55,1,0.934,3.61,0,0.996,0.5191071838420932,0.004896
2026-07-15T16:25:00.000Z,2026-07-16 02:25,SHORT,latch,-8292,-35.62,1,0.955,0.39,0,0.954,0.9435321812022737,0.008771
2026-07-15T18:55:00.000Z,2026-07-16 04:55,SHORT,instant,-3291,-167.82,1,0.819,0.01,0,0.76,0.989175376134145,0.01
2026-07-16T07:45:00.000Z,2026-07-16 17:45,SHORT,latch,-3901,-349.62,0.944,0.889,2.69,0,0.993,0.5357778160325931,0.005319
2026-07-16T15:15:00.000Z,2026-07-17 01:15,SHORT,latch,-7012,-61.97,1,0.979,0.45,0,0.948,0.1702591148819078,0.001989
2026-07-16T23:25:00.000Z,2026-07-17 09:25,SHORT,latch,-16519,-382.19,1,1,1.42,0,0.97,0.862096635524732,0.008103
2026-07-17T05:35:00.000Z,2026-07-17 15:35,SHORT,latch,-4145,-442.32,0.944,0.882,1.85,0,0.982,0.34819228785882084,0.003682
2026-07-17T13:15:00.000Z,2026-07-17 23:15,SHORT,latch,-5334,-506.11,1,0.927,8.16,0,0.999,0.07071690334402199,0.000739
2026-07-20T06:35:00.000Z,2026-07-20 16:35,SHORT,latch,-12326,-63.34,1,0.997,1.63,0,0.976,0.1822764507074526,0.001862
2026-07-22T18:25:00.000Z,2026-07-23 04:25,SHORT,latch,-3679,-5.1,1,0.896,0.02,0.01,0.76,0.9344089091947458,0.007786
2026-07-27T01:40:00.000Z,2026-07-27 11:40,SHORT,instant,-2674,-113.48,1,0.813,0.43,0,0.957,0.9908480605921506,0.01
2026-07-27T14:40:00.000Z,2026-07-28 00:40,SHORT,latch,-16666,-264.79,1,1,3.33,0.37,0.996,0.4444029850746269,0.003253
2026-07-27T22:45:00.000Z,2026-07-28 08:45,SHORT,latch,-10730,-530.66,1,0.986,2.18,0,0.987,0.7742417279411765,0.005736
2026-08-02T22:40:00.000Z,2026-08-03 08:40,SHORT,instant,-6222,-292.86,1,0.927,0.1,0,0.842,0.9835499827447372,0.01
2026-08-07T14:10:00.000Z,2026-08-08 00:10,SHORT,latch,-17867,-338.07,1,1,1.13,0.07,0.985,0.8940465328467153,0.008027
2026-08-07T17:05:00.000Z,2026-08-08 03:05,SHORT,latch,-7549,-347.53,1,0.976,0.6,0,0.978,0.3505701254275941,0.002203
2026-08-10T15:00:00.000Z,2026-08-11 01:00,SHORT,latch,-5148,-234.71,0.944,0.885,1.76,0,0.999,0.43715147376806646,0.003019
2026-08-10T16:25:00.000Z,2026-08-11 02:25,SHORT,latch,-9011,-190.35,0.944,0.969,1.08,0,0.988,0.2208342818119736,0.000785
2026-08-12T14:15:00.000Z,2026-08-13 00:15,SHORT,latch,-11239,-182.32,1,0.99,1.04,0.22,0.987,0.9118530695538801,0.008517
2026-08-12T16:05:00.000Z,2026-08-13 02:05,SHORT,latch,-8079,-121.86,1,0.976,0.04,0,0.875,0.6550277746287269,0.005465
2026-08-12T22:05:00.000Z,2026-08-13 08:05,SHORT,latch,-2399,-39.27,1,0.837,0.19,0.03,0.939,0.7592100050930903,0.006496
2026-08-13T16:40:00.000Z,2026-08-14 02:40,SHORT,latch,-17867,-477.95,1,1,2.09,0,0.994,0.7053429929816618,0.005909
2026-08-18T03:00:00.000Z,2026-08-18 13:00,SHORT,latch,-5321,-381.97,1,1,1.54,0.03,0.993,0.24796816796478158,0.00205
2026-08-18T05:40:00.000Z,2026-08-18 15:40,SHORT,latch,-3458,-82.5,1,0.951,0.02,0,0.848,0.23297025791523224,0.001704
