qld_time,timestamp,symbol,side,limit_price,current_usd_value,mark_price,dist_pct,order_state
2026-07-10 17:58:38,2026-07-10T07:58:38.535Z,ETHUSDT,sell,1830,12511508.7,,,1
2026-07-10 17:58:38,2026-07-10T07:58:38.535Z,ETHUSDT,sell,1850,9387238.55,,,1
2026-07-10 17:58:38,2026-07-10T07:58:38.535Z,ETHUSDT,sell,1840,9267548.24,,,1
2026-07-10 17:58:38,2026-07-10T07:58:38.535Z,ETHUSDT,sell,2560,7775342.08,,,1
2026-07-10 17:58:38,2026-07-10T07:58:38.535Z,ETHUSDT,sell,1860,6842138.34,,,1
2026-07-10 17:58:38,2026-07-10T07:58:38.535Z,ETHUSDT,sell,1855,6494406.94,,,1
2026-07-10 17:58:38,2026-07-10T07:58:38.535Z,ETHUSDT,sell,1845,6405428.57,,,1
2026-07-10 17:58:38,2026-07-10T07:58:38.535Z,ETHUSDT,sell,1900,6317019.3,,,1
2026-07-10 17:58:38,2026-07-10T07:58:38.535Z,ETHUSDT,sell,1837,6303417.51,,,1
2026-07-10 17:58:38,2026-07-10T07:58:38.535Z,ETHUSDT,sell,1885,5582551.91,,,1
2026-07-10 17:58:38,2026-07-10T07:58:38.536Z,ETHUSDT,buy,1770,17869208.46,,,2
2026-07-10 17:58:38,2026-07-10T07:58:38.536Z,ETHUSDT,buy,1670,12081686.81,,,1
2026-07-10 17:58:38,2026-07-10T07:58:38.536Z,ETHUSDT,buy,1660,11970555.48,,,1
2026-07-10 17:58:38,2026-07-10T07:58:38.536Z,ETHUSDT,buy,1665,11471578.61,,,1
2026-07-10 17:58:38,2026-07-10T07:58:38.536Z,ETHUSDT,buy,1455,10173998.75,,,1
2026-07-10 17:58:38,2026-07-10T07:58:38.536Z,ETHUSDT,buy,1200,7619359.2,,,1
2026-07-10 17:58:38,2026-07-10T07:58:38.536Z,ETHUSDT,buy,1450,6543480.25,,,1
2026-07-10 17:58:38,2026-07-10T07:58:38.536Z,ETHUSDT,buy,1600,5999974.4,,,1
2026-07-10 17:58:38,2026-07-10T07:58:38.536Z,ETHUSDT,buy,1668,5692443.65,,,1
2026-07-10 17:58:38,2026-07-10T07:58:38.536Z,ETHUSDT,buy,1400,5642303.8,,,1
2026-07-10 17:58:38,2026-07-10T07:58:38.994Z,BTCUSDT,sell,64388,30006224.54,,,1
2026-07-10 17:58:38,2026-07-10T07:58:38.994Z,BTCUSDT,sell,68000,17754392,,,1
2026-07-10 17:58:38,2026-07-10T07:58:38.994Z,BTCUSDT,sell,64200,17702058.6,,,1
2026-07-10 17:58:38,2026-07-10T07:58:38.994Z,BTCUSDT,sell,65397.7,16712709.22,,,1
2026-07-10 17:58:38,2026-07-10T07:58:38.994Z,BTCUSDT,sell,79800,15560601,,,1
2026-07-10 17:58:38,2026-07-10T07:58:38.994Z,BTCUSDT,sell,64688,14018407.1,,,1
2026-07-10 17:58:38,2026-07-10T07:58:38.994Z,BTCUSDT,sell,64588,13791604.82,,,1
2026-07-10 17:58:38,2026-07-10T07:58:38.994Z,BTCUSDT,sell,64488,13577368.01,,,1
2026-07-10 17:58:38,2026-07-10T07:58:38.994Z,BTCUSDT,sell,64288,13298937.12,,,1
2026-07-10 17:58:38,2026-07-10T07:58:38.994Z,BTCUSDT,sell,64788,13141986.65,,,1
2026-07-10 17:58:38,2026-07-10T07:58:38.995Z,BTCUSDT,buy,63820,45316029.2,,,2
2026-07-10 17:58:38,2026-07-10T07:58:38.995Z,BTCUSDT,buy,52050,42450470.55,,,1
2026-07-10 17:58:38,2026-07-10T07:58:38.995Z,BTCUSDT,buy,48000,27898320,,,1
2026-07-10 17:58:38,2026-07-10T07:58:38.995Z,BTCUSDT,buy,49000,26205543,,,1
2026-07-10 17:58:38,2026-07-10T07:58:38.995Z,BTCUSDT,buy,50000,14342500,,,1
2026-07-10 17:58:38,2026-07-10T07:58:38.995Z,BTCUSDT,buy,61533,12353303.55,,,1
2026-07-10 17:58:38,2026-07-10T07:58:38.995Z,BTCUSDT,buy,62350,12350163.3,,,1
2026-07-10 17:58:38,2026-07-10T07:58:38.995Z,BTCUSDT,buy,61633,12332146.97,,,1
2026-07-10 17:58:38,2026-07-10T07:58:38.995Z,BTCUSDT,buy,61578,12315661.58,,,1
2026-07-10 17:58:38,2026-07-10T07:58:38.995Z,BTCUSDT,buy,61000,10746858,,,1
2026-07-10 18:00:38,2026-07-10T08:00:38.533Z,ETHUSDT,sell,1830,12511508.7,,,1
2026-07-10 18:00:38,2026-07-10T08:00:38.533Z,ETHUSDT,sell,1850,9388614.95,,,1
2026-07-10 18:00:38,2026-07-10T08:00:38.533Z,ETHUSDT,sell,1840,9267548.24,,,1
2026-07-10 18:00:38,2026-07-10T08:00:38.533Z,ETHUSDT,sell,2560,7775342.08,,,1
