qld_time,timestamp,symbol,side,tier,limit_price,current_usd_value,mark_price,dist_pct,order_state
2026-07-10 18:41:35,2026-07-10T08:41:35.426Z,ETHUSDT,sell,both,1830,12289240.56,1783.97,2.580,1
2026-07-10 18:41:35,2026-07-10T08:41:35.426Z,ETHUSDT,sell,both,1850,9492013.3,1783.97,3.701,1
2026-07-10 18:41:35,2026-07-10T08:41:35.426Z,ETHUSDT,sell,both,1840,9061554.72,1783.97,3.141,1
2026-07-10 18:41:35,2026-07-10T08:41:35.426Z,ETHUSDT,sell,global,2560,7775342.08,1783.97,43.500,1
2026-07-10 18:41:35,2026-07-10T08:41:35.426Z,ETHUSDT,sell,both,1860,7074911.76,1783.97,4.262,1
2026-07-10 18:41:35,2026-07-10T08:41:35.426Z,ETHUSDT,sell,near,1855,6515822.92,1783.97,3.982,1
2026-07-10 18:41:35,2026-07-10T08:41:35.426Z,ETHUSDT,sell,near,1845,6429559.32,1783.97,3.421,1
2026-07-10 18:41:35,2026-07-10T08:41:35.426Z,ETHUSDT,sell,near,1837,6355915.29,1783.97,2.973,1
2026-07-10 18:41:35,2026-07-10T08:41:35.426Z,ETHUSDT,sell,near,1835,5555317.54,1783.97,2.860,1
2026-07-10 18:41:35,2026-07-10T08:41:35.426Z,ETHUSDT,sell,near,1800,4842592.2,1783.97,0.899,1
2026-07-10 18:41:35,2026-07-10T08:41:35.426Z,ETHUSDT,sell,near,1828,4085806.67,1783.97,2.468,1
2026-07-10 18:41:35,2026-07-10T08:41:35.427Z,ETHUSDT,buy,global,1670,12069801.42,1783.97,-6.389,1
2026-07-10 18:41:35,2026-07-10T08:41:35.427Z,ETHUSDT,buy,global,1660,11912500.3,1783.97,-6.949,1
2026-07-10 18:41:35,2026-07-10T08:41:35.427Z,ETHUSDT,buy,global,1665,11473794.72,1783.97,-6.669,1
2026-07-10 18:41:35,2026-07-10T08:41:35.427Z,ETHUSDT,buy,global,1455,10173998.75,1783.97,-18.440,1
2026-07-10 18:41:35,2026-07-10T08:41:35.427Z,ETHUSDT,buy,global,1200,7621359.6,1783.97,-32.734,1
2026-07-10 18:41:35,2026-07-10T08:41:35.427Z,ETHUSDT,buy,near,1715,2766466.5,1783.97,-3.866,1
2026-07-10 18:41:35,2026-07-10T08:41:35.427Z,ETHUSDT,buy,near,1700,2664770.4,1783.97,-4.707,1
2026-07-10 18:41:35,2026-07-10T08:41:35.427Z,ETHUSDT,buy,near,1708.6,2504848.61,1783.97,-4.225,1
2026-07-10 18:41:35,2026-07-10T08:41:35.427Z,ETHUSDT,buy,near,1709.1,2500497.05,1783.97,-4.197,1
2026-07-10 18:41:35,2026-07-10T08:41:35.427Z,ETHUSDT,buy,near,1720,2349160.52,1783.97,-3.586,1
2026-07-10 18:41:35,2026-07-10T08:41:35.427Z,ETHUSDT,buy,near,1735,2121235.29,1783.97,-2.745,1
2026-07-10 18:41:35,2026-07-10T08:41:35.427Z,ETHUSDT,buy,near,1748.67,2069937.4,1783.97,-1.979,1
2026-07-10 18:41:35,2026-07-10T08:41:35.427Z,ETHUSDT,buy,near,1717,2001579.01,1783.97,-3.754,1
2026-07-10 18:41:35,2026-07-10T08:41:35.427Z,ETHUSDT,buy,near,1764.55,1879905.69,1783.97,-1.089,1
2026-07-10 18:41:35,2026-07-10T08:41:35.427Z,ETHUSDT,buy,near,1760.2,1810228.4,1783.97,-1.332,1
2026-07-10 18:41:35,2026-07-10T08:41:35.894Z,BTCUSDT,sell,both,64388,22473858.74,64141.675,0.384,1
2026-07-10 18:41:35,2026-07-10T08:41:35.894Z,BTCUSDT,sell,global,68000,17997764,64141.675,6.015,1
2026-07-10 18:41:35,2026-07-10T08:41:35.894Z,BTCUSDT,sell,both,65397.7,16712709.22,64141.675,1.958,1
2026-07-10 18:41:35,2026-07-10T08:41:35.894Z,BTCUSDT,sell,global,79800,15560601,64141.675,24.412,1
2026-07-10 18:41:35,2026-07-10T08:41:35.894Z,BTCUSDT,sell,both,64688,14533129.52,64141.675,0.852,1
2026-07-10 18:41:35,2026-07-10T08:41:35.894Z,BTCUSDT,sell,near,64588,13855030.23,64141.675,0.696,1
2026-07-10 18:41:35,2026-07-10T08:41:35.894Z,BTCUSDT,sell,near,64488,13311548.47,64141.675,0.540,1
2026-07-10 18:41:35,2026-07-10T08:41:35.894Z,BTCUSDT,sell,near,64788,13249340.36,64141.675,1.008,1
