date,call_open_interest_market_value,put_open_interest,put_open_interest_market_value,max_pain_price,call_open_interest,call_open_interest_notional,put_open_interest_notional
260618,55842.82,1829.69,884847.38,65500,2398.74,154487315.07,117821745.26
260619,3554369.41,12688.27,15593042.79,66000,15990.61,1029751560.59,816865589.74
260620,104465.72,1366.69,1244372.47,65500,675.94,43532881.35,87999138.46
260621,83425.82,2353.08,950027.19,65500,454.28,29245946.06,151512544.12
260626,28227750.06,76943.77,472990374.83,74000,87766.07,5651168725.92,4954563928.38
260703,1732938.8,3404,3185890.58,65000,4240.3,273028222.62,219128687.19
260731,25143693.99,14688.43,61759761.13,69000,43738.21,2816279724.69,945911167.09
260828,17740371.49,4442.6,9847905.66,63000,7504.7,483152782.66,286081165.84
260925,54914799.22,28450.81,177168667.13,75000,50103.91,3226446508.31,1831725846.41
261225,102868399.02,28148.5,167006069.64,72000,53404.7,3438988938.99,1812472660.41
270326,37284744.9,7005.5,37211494.44,70000,13099.1,843455991.32,451037726.5
