time,agg_taker_buy_vol,agg_taker_sell_vol,cum_vol_delta
1775865600000,8220445.2595,9059533.3697,-839088.1102
1775869200000,8603083.4457,10875216.9827,-3111221.6472
1775872800000,8281880.4757,8911278.8569,-3740620.0284
1775876400000,8541210.6863,13785732.1506,-8985141.4927
1775880000000,8879431.4503,7834669.5579,-7940379.6003
1775883600000,10245483.6187,16668453.3062,-14363349.2878
1775887200000,10994038.4271,8192319.4064,-11561630.2671
1775890800000,5269705.2084,8496543.8368,-14788468.8955
1775894400000,10352571.2035,9206072.3323,-13641970.0243
1775898000000,21344682.3438,15833662.5984,-8130950.2789
1775901600000,7546762.9431,7786943.7047,-8371131.0405
1775905200000,8765944.3125,7538016.7994,-7143203.5274
1775908800000,6453099.4027,5784633.6324,-6474737.7571
1775912400000,12513187.7777,13964775.094,-7926325.0734
1775916000000,5611346.1852,5774863.5563,-8089842.4445
1775919600000,14375848.5995,13049673.193,-6763667.038
1775923200000,33170663.2066,22120361.6502,4286634.5184
1775926800000,15297746.0879,12068435.2248,7515945.3815
1775930400000,85109623.369,63128504.3378,29497064.4127
1775934000000,61396816.1175,56254538.7223,34639341.8079
1775937600000,23913874.6441,38407292.5609,20145923.8911
1775941200000,12812025.5422,16594099.2157,16363850.2176
1775944800000,13430418.6608,17984291.6416,11809977.2368
1775948400000,13881867.6491,21492316.6102,4199528.2757
1775952000000,20468891.3088,20350408.6767,4318010.9078
1775955600000,82346249.9037,95970696.4831,-9306435.6716
1775959200000,32104206.8678,32503968.4705,-9706197.2743
1775962800000,22742159.9954,27061985.2187,-14026022.4976
1775966400000,24239380.1352,18566252.1793,-8352894.5417
1775970000000,12802601.8062,15640963.1634,-11191255.8989
1775973600000,7574932.7852,7869329.6188,-11485652.7325
1775977200000,11328111.5112,9214756.3806,-9372297.6019
1775980800000,9475615.3325,11016746.5782,-10913428.8476
1775984400000,9281025.9802,8592825.5482,-10225228.4156
1775988000000,25375579.805,37701340.8448,-22550989.4554
1775991600000,11890262.0165,10196841.8953,-20857569.3342
1775995200000,26772472.4859,34411632.7535,-28496729.6018
1775998800000,30666866.6232,39455920.3394,-37285783.318
1776002400000,32182104.9199,35212426.8291,-40316105.2272
1776006000000,20766945.204,17674759.5441,-37223919.5673
1776009600000,11683727.1473,12232410.0717,-37772602.4917
1776013200000,26003339.8214,13263231.0757,-25032493.746
1776016800000,12236732.0667,11354724.0547,-24150485.734
1776020400000,4717486.1866,8280574.2258,-27713573.7732
1776024000000,21417670.0302,15502431.015,-21798334.758
1776027600000,9629096.8173,10426164.9651,-22595402.9058
1776031200000,35851083.9029,33371920.3945,-20116239.3974
1776034800000,9866235.8067,15295339.9369,-25545343.5276
1776038400000,21876038.2168,16746094.9231,-20415400.2339
1776042000000,9946144.8491,10987326.9277,-21456582.3125
1776045600000,9380181.1359,13211014.1088,-25287415.2854
1776049200000,9278836.4872,8605657.5883,-24614236.3865
1776052800000,9753686.438,9060910.5242,-23921460.4727
1776056400000,13234490.0387,12929511.8178,-23616482.2518
1776060000000,25586858.4303,13936253.4605,-11965877.282
1776063600000,23456575.9743,18148628.9815,-6657930.2892
1776067200000,14911033.605,20247054.1804,-11993950.8646
1776070800000,10211229.2131,6802441.3978,-8585163.0493
1776074400000,8761195.9673,11014845.3397,-10838812.4217
1776078000000,9953588.4246,8375967.0999,-9261191.097
1776081600000,36303602.8905,26118976.8121,923434.9814
1776085200000,67387940.1217,52202053.765,16109321.3381
1776088800000,66460476.5842,57471554.0279,25098243.8944
1776092400000,38468081.3504,56967846.095,6598479.1498
1776096000000,39876814.2356,36476280.7565,9999012.6289
1776099600000,24568831.315,26450709.8143,8117134.1296
1776103200000,15846587.7973,14992129.0889,8971592.838
1776106800000,87457704.1152,63121969.2007,33307327.7525
1776110400000,23847863.4471,37553642.4534,19601548.7462
1776114000000,17507463.7991,15262171.7256,21846840.8197
1776117600000,217408760.5863,196315566.086,42940035.32
1776121200000,166157310.3752,173406945.5558,35690400.1394
1776124800000,51112805.0872,58670753.045,28132452.1816
1776128400000,41217443.4895,41290385.0154,28059510.6557
1776132000000,30904517.1063,31530655.4834,27433372.2786
1776135600000,20270075.7592,22206979.4471,25496468.5907
1776139200000,22199167.2665,16921647.3002,30773988.557
1776142800000,26254027.3485,34033637.9915,22994377.914
1776146400000,33763605.4781,24627924.5361,32130058.856
1776150000000,52069429.7778,60484837.4316,23714651.2022
1776153600000,67375393.839,48613211.4651,42476833.5761
1776157200000,30372867.7145,28729909.2189,44119792.0717
1776160800000,22164458.9559,24518394.2539,41765856.7737
1776164400000,29434384.1172,22800183.5033,48400057.3876
1776168000000,21192905.8527,24385456.1431,45207507.0972
1776171600000,74493408.8919,70291560.4417,49409355.5474
1776175200000,130193894.223,139055737.7583,40547512.0121
1776178800000,98060421.4096,100602807.8614,38005125.5603
1776182400000,35466718.9696,53663381.0008,19808463.5291
1776186000000,31497501.3985,35457717.6905,15848247.2371
1776189600000,39103329.6761,54354464.3498,597112.5634
1776193200000,37390919.709,34220308.46,3767723.8124
1776196800000,17614316.0193,15560658.2318,5821381.5999
1776200400000,18936892.6054,12327536.9821,12430737.2232
1776204000000,18860615.244,22083785.942,9207566.5252
1776207600000,13464426.3741,13622057.5404,9049935.3589
1776211200000,23947400.0666,22217005.536,10780329.8895
1776214800000,16756441.08,16379870.7051,11156900.2644
1776218400000,11131822.0577,17220674.6048,5068047.7173
1776222000000,7881528.508,7068860.5671,5880715.6582
1776225600000,11338195.9691,9976311.981,7242599.6463
1776229200000,14938260.4781,23031755.7953,-850895.6709
1776232800000,11062148.8533,11966740.1646,-1755486.9822
1776236400000,24984725.0448,27980500.148,-4751262.0854
1776240000000,35384403.6613,25469026.8477,5164114.7282
1776243600000,8317038.6499,11187694.7387,2293458.6394
1776247200000,15437627.8739,17602414.1633,128672.35
1776250800000,24627350.9451,19908099.7224,4847923.5727
1776254400000,21054801.0372,15322531.1141,10580193.4958
1776258000000,26667057.3968,27658438.2885,9588812.6041
1776261600000,34490881.7392,31882845.1228,12196849.2205
1776265200000,35111795.8929,43468193.9132,3840451.2002
1776268800000,27583040.4598,24757968.9273,6665522.7327
1776272400000,32614404.7764,35471449.326,3808478.1831
1776276000000,19416455.7821,22768228.5219,456705.4433
1776279600000,47911028.5238,42286120.1169,6081613.8502
1776283200000,18764335.4605,26147517.8695,-1301568.5588
1776286800000,23737079.0334,17253624.0459,5181886.4287
1776290400000,34631180.4023,33608109.3874,6204957.4436
1776294000000,19152775.8489,29899883.5357,-4542150.2432
1776297600000,9738009.249,11006269.6186,-5810410.6128
1776301200000,10581390.2443,13301960.5416,-8530980.9101
1776304800000,17473087.8352,17693482.7652,-8751375.8401
1776308400000,11102198.668,9341903.2194,-6991080.3915
1776312000000,12303957.0482,15838079.5204,-10525202.8637
1776315600000,16801294.1675,12559169.4898,-6283078.186
1776319200000,12446135.7161,10962252.7393,-4799195.2092
1776322800000,24368936.4579,27669057.0678,-8099315.8191
1776326400000,17644383.7142,22686313.313,-13141245.4179
1776330000000,18928678.6374,24096432.5764,-18308999.3569
1776333600000,26074923.4938,24126580.6594,-16360656.5225
1776337200000,15126304.3355,12459135.3115,-13693487.4985
1776340800000,23949841.6332,19705575.5702,-9449221.4355
1776344400000,80925273.8597,87885548.8612,-16409496.437
1776348000000,89898051.296,93988282.5144,-20499727.6554
1776351600000,76639961.0759,57387011.5498,-1246778.1293
1776355200000,46802735.3888,49766428.8988,-4210471.6393
1776358800000,29526446.7685,26360935.5732,-1044960.444
1776362400000,33418315.3051,37413368.9056,-5040014.0445
1776366000000,42579278.7397,36732545.9679,806718.7273
1776369600000,28669450.1846,38692427.9398,-9216259.0279
1776373200000,12668708.9907,19833877.0152,-16381427.0524
1776376800000,17441898.9376,15914626.4509,-14854154.5657
1776380400000,12976959.7601,10758593.5698,-12635788.3754
1776384000000,11845460.7792,11335814.5353,-12126142.1315
1776387600000,20380209.7177,23221094.3139,-14967026.7277
1776391200000,8402291.3918,10331253.9444,-16895989.2803
1776394800000,7269922.2744,9214724.2858,-18840791.2917
1776398400000,6323928.8059,8306718.539,-20823581.0248
1776402000000,17044745.3694,21123087.9909,-24901923.6463
1776405600000,16906334.756,15892699.1978,-23888288.0881
1776409200000,18032016.366,14705728.7737,-20562000.4958
