time,taker_buy_vol,taker_sell_vol,cum_vol_delta
1775865600000,5675087.918,5520001.3658,155086.5522
1775869200000,4040457.6591,7425421.7536,-3229877.5423
1775872800000,4513916.4414,5064330.5532,-3780291.6541
1775876400000,3944113.3194,7218706.0788,-7054884.4135
1775880000000,6246686.6626,4995365.9558,-5803563.7067
1775883600000,6889597.5366,11834012.4253,-10747978.5954
1775887200000,7468340.3698,5431668.0514,-8711306.277
1775890800000,3208395.7006,4167449.2162,-9670359.7926
1775894400000,4493377.0235,5913346.4501,-11090329.2192
1775898000000,12826531.5634,10146053.9063,-8409851.5621
1775901600000,3770775.4203,4401935.2201,-9041011.3619
1775905200000,4459882.2151,4755431.3046,-9336560.4514
1775908800000,2733267.0639,3332447.6864,-9935741.0739
1775912400000,6966781.8951,7548131.3003,-10517090.4791
1775916000000,2823878.6912,3351555.0897,-11044766.8776
1775919600000,7547594.3475,8318362.9266,-11815535.4567
1775923200000,17287408.5361,11653433.2312,-6181560.1518
1775926800000,10041611.6236,6440032.0853,-2579980.6135
1775930400000,50319683.765,36777479.9458,10962223.2057
1775934000000,39458532.6183,32803897.0176,17616858.8064
1775937600000,16338243.9125,25701574.173,8253528.5459
1775941200000,7190213.2943,9992372.3653,5451369.4749
1775944800000,7879530.8438,9492068.5388,3838831.7799
1775948400000,7794182.5429,12167825.6596,-534811.3368
1775952000000,12758728.637,14514677.4377,-2290760.1375
1775955600000,49227604.3171,56686735.4057,-9749891.2261
1775959200000,18201659.778,18204969.8464,-9753201.2945
1775962800000,16985844.4215,17948428.8138,-10715785.6868
1775966400000,15206780.0145,10331107.8548,-5840113.5271
1775970000000,7451156.3599,10082796.0194,-8471753.1866
1775973600000,3347491.4834,4715739.9313,-9840001.6345
1775977200000,4948446.4627,5137561.8802,-10029117.052
1775980800000,5126427.3547,6319228.5836,-11221918.2809
1775984400000,5729429.265,5814169.8934,-11306658.9093
1775988000000,9562413.2281,14226395.6118,-15970641.293
1775991600000,6754918.1996,5491850.0604,-14707573.1538
1775995200000,14684313.7301,13640382.5793,-13663642.003
1775998800000,13864758.9755,19638921.803,-19437804.8305
1776002400000,19056153.0623,17686349.2611,-18068001.0293
1776006000000,9452335.9742,9360291.8993,-17975956.9544
1776009600000,4836474.3849,5384746.2987,-18524228.8682
1776013200000,11125578.7048,5446967.7798,-12845617.9432
1776016800000,6271431.0888,6040729.6075,-12614916.4619
1776020400000,2605119.4673,5338560.4811,-15348357.4757
1776024000000,10751377.6339,8654087.9245,-13251067.7663
1776027600000,5199984.8035,5552201.6028,-13603284.5656
1776031200000,19208384.5306,18068300.6106,-12463200.6456
1776034800000,5805765.3076,9073060.6201,-15730495.9581
1776038400000,11927121.2083,10858636.3992,-14662011.149
1776042000000,5544235.9451,6427780.4823,-15545555.6862
1776045600000,4130636.2515,7856376.3017,-19271295.7364
1776049200000,6355878.2605,5075007.624,-17990425.0999
1776052800000,5719864.6806,5137645.3676,-17408205.7869
1776056400000,7940066.353,7714608.3526,-17182747.7865
1776060000000,16848982.4492,8124456.7272,-8458222.0645
1776063600000,11782157.0151,9484695.4346,-6160760.484
1776067200000,6935454.3469,10308484.1893,-9533790.3264
1776070800000,5010718.5765,3495879.9332,-8018951.6831
1776074400000,4877345.07,5056008.112,-8197614.7251
1776078000000,4911329.0549,4470609.9647,-7756895.6349
1776081600000,21555510.8982,15150522.3881,-1351907.1248
1776085200000,39582969.0419,27341634.643,10889427.2741
1776088800000,37466532.563,31445010.3726,16910949.4645
1776092400000,21471840.8693,36105324.6001,2277465.7337
1776096000000,17104294.8506,19026046.6006,355713.9837
1776099600000,12740111.7563,14161765.4748,-1065939.7348
1776103200000,6886693.2375,7941214.3902,-2120460.8875
1776106800000,39779243.9468,27410071.0512,10248712.0081
1776110400000,12162696.7392,19805634.1751,2605774.5722
1776114000000,10179445.6135,8236422.0655,4548798.1202
1776117600000,118609941.6918,104351863.1258,18806876.6862
1776121200000,102320261.4098,102423986.1544,18703151.9416
1776124800000,31530111.498,32578982.6107,17654280.8289
1776128400000,26457612.7064,25193672.8429,18918220.6924
