btc_option_vs_futures_radio,eth_option_vs_futures_radio,timestamp
45.1,21.92,1592956800000
45.15,23.16,1593043200000
47.27,23.65,1593129600000
34.86,17.86,1593216000000
33.49,18.56,1593302400000
34.97,19.67,1593388800000
36.32,20.72,1593475200000
28.34,20.87,1593561600000
29.5,20.33,1593648000000
29.72,21.55,1593734400000
28.05,21.06,1593820800000
28.83,20.69,1593907200000
28.81,21.12,1593993600000
29.65,19.48,1594080000000
30.47,20.13,1594166400000
30.29,18.77,1594252800000
31.55,20.33,1594339200000
31.55,20.06,1594425600000
31.29,19.96,1594512000000
32.15,20.7,1594598400000
31.73,21.23,1594684800000
32.18,21.85,1594771200000
32.78,21.69,1594857600000
33.08,21.57,1594944000000
32.63,21.93,1595030400000
33.22,21.71,1595116800000
33.18,21.77,1595203200000
34.33,23.02,1595289600000
32.86,21.57,1595376000000
33.45,22.94,1595462400000
33.5,23.39,1595548800000
30.11,21.69,1595635200000
28.69,22.36,1595721600000
34.2,25.6,1595808000000
37.68,27.56,1595894400000
37.94,27.97,1595980800000
38.85,27.45,1596067200000
40.47,27.07,1596153600000
31.18,23.06,1596240000000
31.68,24.21,1596326400000
33.85,27.63,1596412800000
34.48,27.98,1596499200000
32.04,27.19,1596585600000
33.99,27.03,1596672000000
34.15,27.09,1596758400000
31.89,26.33,1596844800000
33.16,26.93,1596931200000
32.66,26.47,1597017600000
33.46,26.51,1597104000000
33.81,26.77,1597190400000
35.94,28.42,1597276800000
36.3,27.45,1597363200000
33.94,26.46,1597449600000
33.54,26.47,1597536000000
34.01,28.41,1597622400000
34.49,29.01,1597708800000
35.15,29.33,1597795200000
36.49,31.69,1597881600000
38.06,33.49,1597968000000
35.19,32.19,1598054400000
36.65,33.93,1598140800000
36.89,33.65,1598227200000
37.67,34.14,1598313600000
37.59,35.16,1598400000000
40.23,36.76,1598486400000
40.74,36.59,1598572800000
31.86,29.36,1598659200000
31.3,28.93,1598745600000
31.97,29.92,1598832000000
33.3,30.45,1598918400000
32.3,32.16,1599004800000
34.96,37.5,1599091200000
38.42,41.53,1599177600000
40.17,43.14,1599264000000
