date,call_open_interest_market_value,put_open_interest,put_open_interest_market_value,max_pain_price,call_open_interest,call_open_interest_notional,put_open_interest_notional
260618,65299.29,20251.2,276280.98,1775,25792.7,45044699.84,35364765.21
260619,2360895.47,62665,1686066.24,1725,64531,112693093.67,109423571.78
260620,48805.75,4528.2,121975.39,1775,9434.1,16479155.03,7909029.56
260621,42659.38,2960.5,57769.76,1750,3055.6,5336695.9,5166193.61
260626,3682869.09,365066.2,140823729.08,2000,635114.6,1109194853.12,637503974.19
260703,500949.9,21383,758986.64,1750,11705,20445487.57,37341769.31
260731,3507440.11,79148.8,11186316.17,1850,119455,208604072.39,138213367.24
260828,1366411.7,13188,1527205.34,1750,17748,30996253.7,23033280.02
260925,5235022.79,95250.6,51910761.88,2300,210678.4,367967802,166378441.19
261225,20214030.42,105945,33606806.1,2200,293755,513079060.6,185002892.15
270326,4525732.01,24063,8070918.05,2300,45959,80248194.24,42019454.92
