,Cboe data is compiled for the convenience of site visitors and is furnished without responsibility for accuracy and is accepted by the site visitor on the condition that transmission or omissions shall not be made the basis for any claim demand or cause for action.Your use of Cboe data is subject to the Terms and Conditions for use of Cboe Websites.\n,,,
,To access our full collection of comprehensive historical market data visit CBOE Data Shop at https://datashop.cboe.com.\n,,,
Date,Open,High,Low,Close
6/22/2026,10.45,10.8,10.45,10.79
6/23/2026,10.92,10.94,10.55,10.66
6/24/2026,10.53,11,10.43,10.9
6/25/2026,10.83,11.05,10.63,10.65
6/26/2026,10.82,10.82,10.06,10.22
6/29/2026,10.57,10.65,10.3,10.36
6/30/2026,10.33,10.74,10.12,10.74
07-01-2026,11.12,11.23,10.63,10.75
07-02-2026,10.55,10.55,10.09,10.17
07-06-2026,10.73,10.79,10.47,10.48
07-07-2026,10.61,11.4,10.6,11.18
07-08-2026,11.55,11.69,10.7,10.94
07-09-2026,10.91,11.21,10.41,11
07-10-2026,10.58,10.75,10.42,10.42
7/13/2026,10.64,11.44,10.29,11.31
7/14/2026,10.91,11.01,9.99,10.44
7/15/2026,10.09,10.11,9.07,9.27
7/16/2026,9.58,9.71,9,9.34
7/17/2026,9.48,10.34,9.38,10.18
7/20/2026,10.45,10.62,10.35,10.56
7/21/2026,10.72,11.12,10.66,11.07
7/22/2026,11.24,11.48,11.09,11.3
7/23/2026,11.67,12.11,11.51,11.52
7/24/2026,11.33,11.35,10.79,10.96
7/27/2026,11.02,11.11,10.69,10.89
7/28/2026,10.86,10.86,10.41,10.85
7/29/2026,11.1,15.07,10.89,13.19
7/30/2026,13.4,13.71,12.76,12.79
7/31/2026,13.39,14.58,13.36,13.7
08-03-2026,13.41,13.41,13.1,13.28
08-04-2026,12.67,12.72,11.89,11.99
08-05-2026,12.07,12.18,11.75,12.1
08-06-2026,12.3,12.56,11.89,12.28
08-07-2026,11.44,11.96,11.3,11.33
08-10-2026,11.82,12.4,11.82,12.26
08-11-2026,12.1,12.49,11.98,12.37
08-12-2026,11.88,11.9,11.5,11.65
8/13/2026,11.12,11.15,10.33,10.95
8/14/2026,11.06,12.61,11.06,11.83
8/17/2026,12.19,12.59,11.93,12.57
8/18/2026,12.69,12.69,11.46,11.83
8/19/2026,11.64,11.97,11.51,11.66
8/20/2026,11.95,12.37,11.41,12.29
8/21/2026,12.08,12.65,11.9,11.92
8/24/2026,12.23,12.59,11.87,12.15
8/25/2026,12.01,12.31,11.96,12.17
8/26/2026,12.34,12.47,12.13,12.13
8/27/2026,11.96,12.17,11.71,12.06
8/28/2026,12.24,12.66,11.4,11.45
8/31/2026,11.99,12.34,11.89,11.89
09-01-2026,12.34,12.55,11.99,12.39
09-02-2026,12.39,12.45,12.11,12.16
09-03-2026,12.12,12.32,11.56,12.06
09-04-2026,11.76,11.81,11.37,11.37
09-08-2026,11.86,12.32,11.7,12.28
09-09-2026,12.51,12.78,12.09,12.16
09-10-2026,13.13,13.64,12.33,13.64
09-11-2026,12.77,12.77,11.95,12.23
9/14/2026,12.72,13.48,12.45,13.48
9/15/2026,13.8,14.26,13.53,14.25
9/16/2026,14.02,14.39,12.95,13.13
9/17/2026,12.16,12.22,11.68,11.96
