ts_utc,qld,side,via,dOIc,delta_M,thumbRank,floorRank
2026-07-06T12:10:00.000Z,2026-07-06 22:10,SHORT,latch,-4246,-69.18,1,0.976
2026-07-12T22:50:00.000Z,2026-07-13 08:50,SHORT,latch,-3387,-47,1,0.885
2026-07-13T00:40:00.000Z,2026-07-13 10:40,SHORT,latch,-12644,-250.48,1,0.99
2026-07-13T05:35:00.000Z,2026-07-13 15:35,SHORT,latch,-8551,-142.86,1,0.979
2026-07-13T14:25:00.000Z,2026-07-14 00:25,SHORT,latch,-13348,-458.89,1,0.993
2026-07-13T18:20:00.000Z,2026-07-14 04:20,SHORT,latch,-4599,-156.89,0.944,0.882
2026-07-13T22:15:00.000Z,2026-07-14 08:15,LONG,instant,2696,102.38,1,0.757
2026-07-13T23:30:00.000Z,2026-07-14 09:30,LONG,instant,6459,130,1,0.931
2026-07-15T07:30:00.000Z,2026-07-15 17:30,SHORT,latch,-9777,-358.55,1,0.934
2026-07-15T16:25:00.000Z,2026-07-16 02:25,SHORT,latch,-8292,-35.62,1,0.955
2026-07-15T18:55:00.000Z,2026-07-16 04:55,SHORT,instant,-3291,-167.82,1,0.819
2026-07-16T07:45:00.000Z,2026-07-16 17:45,SHORT,latch,-3901,-349.62,0.944,0.889
2026-07-16T15:15:00.000Z,2026-07-17 01:15,SHORT,latch,-7012,-61.97,1,0.979
2026-07-16T23:25:00.000Z,2026-07-17 09:25,SHORT,latch,-16519,-382.19,1,1
2026-07-17T05:35:00.000Z,2026-07-17 15:35,SHORT,latch,-4145,-442.32,0.944,0.882
2026-07-17T13:15:00.000Z,2026-07-17 23:15,SHORT,latch,-5334,-506.11,1,0.927
2026-07-20T06:35:00.000Z,2026-07-20 16:35,SHORT,latch,-12326,-63.34,1,0.997
2026-07-22T18:25:00.000Z,2026-07-23 04:25,SHORT,latch,-3679,-5.1,1,0.896
2026-07-23T17:25:00.000Z,2026-07-24 03:25,LONG,instant,4961,72.25,0.944,0.917
2026-07-27T01:40:00.000Z,2026-07-27 11:40,SHORT,instant,-2674,-113.48,1,0.813
2026-07-27T14:40:00.000Z,2026-07-28 00:40,SHORT,latch,-16666,-264.79,1,1
2026-07-27T22:45:00.000Z,2026-07-28 08:45,SHORT,latch,-10730,-530.66,1,0.986
2026-07-28T03:05:00.000Z,2026-07-28 13:05,LONG,instant,2833,52.1,1,0.868
2026-08-02T22:40:00.000Z,2026-08-03 08:40,SHORT,instant,-6222,-292.86,1,0.927
2026-08-07T14:10:00.000Z,2026-08-08 00:10,SHORT,latch,-17867,-338.07,1,1
2026-08-07T17:05:00.000Z,2026-08-08 03:05,SHORT,latch,-7549,-347.53,1,0.976
2026-08-10T15:00:00.000Z,2026-08-11 01:00,SHORT,latch,-5148,-234.71,0.944,0.885
2026-08-10T16:25:00.000Z,2026-08-11 02:25,SHORT,latch,-9011,-190.35,0.944,0.969
2026-08-12T14:15:00.000Z,2026-08-13 00:15,SHORT,latch,-11239,-182.32,1,0.99
2026-08-12T16:05:00.000Z,2026-08-13 02:05,SHORT,latch,-8079,-121.86,1,0.976
2026-08-12T22:05:00.000Z,2026-08-13 08:05,SHORT,latch,-2399,-39.27,1,0.837
2026-08-13T06:10:00.000Z,2026-08-13 16:10,SHORT,instant,-2130,-84.62,0.944,0.781
2026-08-13T16:40:00.000Z,2026-08-14 02:40,SHORT,latch,-17867,-477.95,1,1
2026-08-14T13:35:00.000Z,2026-08-14 23:35,LONG,instant,3239,48.36,0.944,0.913
2026-08-18T03:00:00.000Z,2026-08-18 13:00,SHORT,latch,-5321,-381.97,1,1
2026-08-18T05:40:00.000Z,2026-08-18 15:40,SHORT,latch,-3458,-82.5,1,0.951
2026-08-19T22:10:00.000Z,2026-08-20 08:10,SHORT,instant,-7432,-59.78,0.944,0.903
2026-08-20T03:15:00.000Z,2026-08-20 13:15,SHORT,instant,-5495,-254.54,1,0.819
2026-08-20T07:25:00.000Z,2026-08-20 17:25,SHORT,instant,-6852,-146.23,1,0.875
